,join_col
2247,001-Donald's
2248,005-Allendale #1
2249,005-Allendale #2
2250,005-Fairfax #1
2251,005-Fairfax #2
2252,007-Barker's creek-mcadams
2253,007-Fork no.1
2254,007-Fork no.2
2255,007-Neal's creek
2256,007-North pointe
2257,007-Shirley's store
2258,007-Wright's school
2259,007-Cox's creek
2260,011-Barnwell 1
2261,011-Barnwell 2
2262,011-Barnwell 3
2263,011-Barnwell 4
2264,011-Blackville 1
2265,011-Blackville 2
2266,011-Williston 1
2267,011-Williston 2
2268,011-Williston 3
2269,013-Saint helena 1a
2270,013-Saint helena 1b
2271,013-Saint helena 1c
2272,013-Saint helena 2a
2273,013-Saint helena 2b
2274,013-Saint helena 2c
2275,019-Lincolnville
2276,021-Antioch and kings creek
2277,021-Holly grove-buffalo
2278,021-Littlejohn's and sarratt's
2279,021-Woods
2280,025-Mt. groghan
2281,029-Canadys
2282,029-Wolf creek
2283,037-Edgefield no.1
2284,037-Edgefield no.2
2285,037-Johnston no.1
2286,037-Johnston no.2
2287,037-Trenton no.1
2288,037-Merriweather no.1
2289,037-Merriweather no.2
2290,037-Trenton no.2
2291,039-Gladde3n grove
2292,039-Jenkinsville
2293,039-Woodard
2294,049-Hampton courthouse no.1
2295,049-Hampton courthouse no.2
2296,057-Gooch's cross roads
2297,061-Bishopville 1
2298,061-Bishopville 2
2299,061-Bishopville 3
2300,061-Bishopville 4
2301,061-South lynchburg
2302,063-Beulah  church
2303,067-N west mullins
2304,067-S west mullins
2305,067-N east mullins
2306,067-S east mullins
2307,069-Red hill
2308,069-E bennettsville
2309,069-W bennettsville
2310,069-S bennettsville
2311,069-N bennettsville
2312,065-Clark's hill
2313,075-Orangeburg wd 1
2314,075-Orangeburg wd 2
2315,075-Orangeburg wd 3
2316,075-Orangeburg wd 4
2317,075-Orangeburg wd 5
2318,075-Orangeburg wd 6
2319,075-Ornageburg wd 7
2320,075-Orangeburg wd 8
2321,075-Orangeburg wd 9
2322,075-Orangeburg wd 10
2323,077-Mcallister
2324,077-Lenhart
2325,085-St.john
2326,085-St. paul
2327,089-Henry-poplar hill
2328,089-Kingstree no.1
2329,089-Kingstree no.2
2330,089-Kingstree no.3
2331,089-Kingstree no.4
