vest_ID,election_ID
001-Donalds,001-Donald's
005-Allendale no. 1,005-Allendale #1
005-Allendale no. 2,005-Allendale #2
005-Fairfax no. 1,005-Fairfax #1
005-Fairfax no. 2,005-Fairfax #2
007-Barker's creek,007-Barker's creek-mcadams
007-Fork no. 1,007-Fork no.1
007-Fork no. 2,007-Fork no.2
007-Neals creek,007-Neal's creek
007-North point,007-North pointe
007-Shirleys store,007-Shirley's store
007-Wrights school,007-Wright's school
007-Cox creek,007-Cox's creek
011-Barnwell no. 1,011-Barnwell 1
011-Barnwell no. 2,011-Barnwell 2
011-Barnwell no. 3,011-Barnwell 3
011-Barnwell no. 4,011-Barnwell 4
011-Blackville no. 1,011-Blackville 1
011-Blackville no. 2,011-Blackville 2
011-Williston no. 1,011-Williston 1
011-Williston no. 2,011-Williston 2
011-Williston no. 3,011-Williston 3
013-St. helena 1a,013-Saint helena 1a
013-St. helena 1b,013-Saint helena 1b
013-St. helena 1c,013-Saint helena 1c
013-St. helena 2a,013-Saint helena 2a
013-St. helena 2b,013-Saint helena 2b
013-St. helena 2c,013-Saint helena 2c
019-Licolnville,019-Lincolnville
021-Antioch and king's creek,021-Antioch and kings creek
021-Holly grove and buffalo,021-Holly grove-buffalo
021-Little john and sarratt's,021-Littlejohn's and sarratt's
021-Wood's,021-Woods
025-Mt. croghan,025-Mt. groghan
029-Canady's,029-Canadys
029-Wolfe creek,029-Wolf creek
037-Edgefield no. 1,037-Edgefield no.1
037-Edgefield no. 2,037-Edgefield no.2
037-Johnston no. 1,037-Johnston no.1
037-Johnston no. 2,037-Johnston no.2
037-Trenton 1,037-Trenton no.1
037-Merriweather no. 1,037-Merriweather no.1
037-Merriweather no. 2,037-Merriweather no.2
037-Trenton 2,037-Trenton no.2
039-Gladden grove,039-Gladde3n grove
039-Jekinsville,039-Jenkinsville
039-Woodward,039-Woodard
049-Hampton cthse 1,049-Hampton courthouse no.1
049-Hampton cthse 2,049-Hampton courthouse no.2
057-Gooch's cross road,057-Gooch's cross roads
061-Bishopville no. 1,061-Bishopville 1
061-Bishopville no. 2,061-Bishopville 2
061-Bishopville no. 4,061-Bishopville 4
061-S lynchburg,061-South lynchburg
061-Bishopville no. 3,061-Bishopville 3
063-Beulah church,063-Beulah  church
065-Clarks hill,065-Clark's hill
067-Northwest mullins,067-N west mullins
067-Southwest mullins,067-S west mullins
067-Northeast mullins,067-N east mullins
067-Southeast mullins,067-S east mullins
069-Redhill,069-Red hill
069-East bennettsville,069-E bennettsville
069-West bennettsville,069-W bennettsville
069-South bennettsville,069-S bennettsville
069-North bennettsville,069-N bennettsville
075-Orangeburg ward 1,075-Orangeburg wd 1
075-Orangeburg ward 2,075-Orangeburg wd 2
075-Orangeburg ward 3,075-Orangeburg wd 3
075-Orangeburg ward 4,075-Orangeburg wd 4
075-Orangeburg ward 5,075-Orangeburg wd 5
075-Orangeburg ward 6,075-Orangeburg wd 6
075-Orangeburg ward 7,075-Ornageburg wd 7
075-Orangeburg ward 8,075-Orangeburg wd 8
075-Orangeburg ward 9,075-Orangeburg wd 9
075-Orangeburg ward 10,075-Orangeburg wd 10
077-Mcalister,077-Mcallister
077-Lenhardt,077-Lenhart
085-Saint john,085-St.john
085-Saint paul,085-St. paul
089-Henry poplar hl,089-Henry-poplar hill
089-Kingstree no. 1,089-Kingstree no.1
089-Kingstree no. 2,089-Kingstree no.2
089-Kingstree no. 3,089-Kingstree no.3
089-Kingstree no. 4,089-Kingstree no.4
