




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
GREENVILLE 1                  1707                          944                           55.30%
GREENVILLE 3                  2426                          1313                          54.12%
GREENVILLE 4                  2806                          1095                          39.02%
GREENVILLE 5                  2949                          1286                          43.61%
GREENVILLE 6                  684                           193                           28.22%
GREENVILLE 7                  2190                          820                           37.44%
GREENVILLE 8                  3067                          1092                          35.60%
GREENVILLE 10                 2686                          1177                          43.82%
GREENVILLE 14                 1861                          640                           34.39%
GREENVILLE 16                 2057                          960                           46.67%
GREENVILLE 17                 1760                          914                           51.93%
GREENVILLE 18                 1470                          869                           59.12%
GREENVILLE 19                 2394                          948                           39.60%
GREENVILLE 20                 1300                          706                           54.31%
GREENVILLE 21                 1576                          732                           46.45%
GREENVILLE 22                 2348                          1274                          54.26%
GREENVILLE 23                 2030                          1120                          55.17%
GREENVILLE 24                 4229                          1639                          38.76%
GREENVILLE 25                 2176                          742                           34.10%
GREENVILLE 26                 1907                          786                           41.22%
GREENVILLE 27                 1278                          613                           47.97%
GREENVILLE 28                 1275                          442                           34.67%
GREENVILLE 29                 2037                          717                           35.20%
AIKEN                         1058                          385                           36.39%
ALTAMONT FOREST               1270                          742                           58.43%
ASHETON LAKES                 3129                          1623                          51.87%
AVON                          1652                          857                           51.88%
BELLE MEADE                   1834                          724                           39.48%
BELLS CROSSING                2916                          1502                          51.51%
BELMONT                       1010                          389                           38.51%
BEREA                         1467                          578                           39.40%
BOILING SPRINGS               2177                          1185                          54.43%
BOTANY WOODS                  1823                          837                           45.91%
BROOKGLENN                    1316                          621                           47.19%
CANEBRAKE                     2915                          1551                          53.21%
CAROLINA                      1548                          564                           36.43%
CHESTNUT HILLS                1858                          730                           39.29%
CIRCLE CREEK                  2743                          1518                          55.34%
CLEAR CREEK                   1650                          884                           53.58%
CONESTEE                      2377                          1076                          45.27%
DARBY RIDGE                   2550                          1336                          52.39%
DEL NORTE                     2541                          1092                          42.98%
DEVENGER                      1929                          1071                          55.52%
DONALDSON                     1049                          446                           42.52%
DOVE TREE                     1992                          1013                          50.85%
DUNKLIN                       2236                          1063                          47.54%
EASTSIDE                      2344                          1131                          48.25%
EBENEZER                      2139                          1093                          51.10%
EDWARDS FOREST                2333                          1078                          46.21%
ENOREE                        2872                          1412                          49.16%
FEASTER                       1387                          553                           39.87%
FORK SHOALS                   1814                          976                           53.80%
FOUNTAIN INN 1                3153                          1639                          51.98%
FOUNTAIN INN 2                1435                          649                           45.23%
FURMAN                        2687                          1463                          54.45%
GOWENSVILLE                   1970                          1098                          55.74%
GROVE                         1821                          653                           35.86%
JENNINGS MILL                 1784                          928                           52.02%
LAKEVIEW                      2577                          985                           38.22%
LAUREL RIDGE                  2312                          1179                          50.99%
LEAWOOD                       2541                          999                           39.32%
MAPLE CREEK                   1966                          920                           46.80%
MARIDELL                      1889                          959                           50.77%
MAULDIN 1                     2088                          944                           45.21%
MAULDIN 2                     3797                          1765                          46.48%
MAULDIN 3                     2590                          1155                          44.59%
MAULDIN 4                     3297                          1466                          44.46%
MAULDIN 5                     3236                          1266                          39.12%
MAULDIN 6                     2288                          1136                          49.65%
MAULDIN 7                     1963                          957                           48.75%
MISSION                       2596                          1312                          50.54%
MONAVIEW                      2299                          732                           31.84%
MOUNTAIN CREEK                2283                          1257                          55.06%
MOUNTAIN VIEW                 2175                          1137                          52.28%
NEELY FARMS                   3557                          1843                          51.81%
NORTHWOOD                     2137                          1103                          51.61%
OAKVIEW                       2855                          1485                          52.01%
PALMETTO                      2094                          918                           43.84%
PARIS MOUNTAIN                1362                          791                           58.08%
PEBBLE CREEK                  2200                          1116                          50.73%
PELHAM FALLS                  1132                          631                           55.74%
PIEDMONT                      2780                          1152                          41.44%
PINEVIEW                      1180                          565                           47.88%
POINSETT                      2742                          1287                          46.94%
RAINTREE                      3001                          1446                          48.18%
REEDY FORK                    2026                          963                           47.53%
RIVERWALK                     2620                          1408                          53.74%
ROCK HILL                     2903                          1138                          39.20%
ROCKY CREEK                   2276                          931                           40.91%
ROLLING GREEN                 1850                          957                           51.73%
ROYAL OAKS                    1558                          608                           39.02%
SALUDA                        1487                          751                           50.50%
SANDY FLAT                    3294                          1717                          52.13%
SEVIER                        2698                          1318                          48.85%
SILVERLEAF                    2191                          1193                          54.45%
SIMPSONVILLE 1                2601                          1204                          46.29%
SIMPSONVILLE 2                1716                          812                           47.32%
SIMPSONVILLE 3                2385                          1092                          45.79%
SIMPSONVILLE 4                2050                          856                           41.76%
SIMPSONVILLE 5                2054                          996                           48.49%
SIMPSONVILLE 6                2728                          1298                          47.58%
SKYLAND                       2504                          1293                          51.64%
SLATER MARIETTA               2873                          1317                          45.84%
SOUTHSIDE                     2277                          997                           43.79%
SPRING FOREST                 2520                          976                           38.73%
STONE VALLEY                  2485                          1009                          40.60%
STONEHAVEN                    1914                          947                           49.48%
SUBER MILL                    2796                          1372                          49.07%
SUGAR CREEK                   2304                          1310                          56.86%
SULPHUR SPRINGS               2279                          1032                          45.28%
SYCAMORE                      2336                          1341                          57.41%
TANGLEWOOD                    2569                          942                           36.67%
TAYLORS                       2355                          971                           41.23%
THORNBLADE                    3361                          1372                          40.82%
TIGERVILLE                    2529                          1360                          53.78%
TIMBERLAKE                    2633                          1291                          49.03%
TRADE                         2466                          884                           35.85%
TUBBS MOUNTAIN                2287                          1238                          54.13%
WADE HAMPTON                  2436                          980                           40.23%
WALNUT SPRINGS                4917                          2383                          48.46%
WELCOME                       2306                          784                           34.00%
WELLINGTON                    1587                          855                           53.88%
WESTCLIFFE                    1849                          746                           40.35%
WESTSIDE                      2197                          817                           37.19%
WOODMONT                      2693                          1141                          42.37%
WOODRUFF LAKES                2704                          1320                          48.82%
MT. PLEASANT                  1818                          634                           34.87%
BAKER CREEK                   1401                          653                           46.61%
BRIDGE FORK                   1713                          951                           55.52%
CASTLE ROCK                   2639                          1315                          49.83%
FOX CHASE                     1867                          995                           53.29%
FROHAWK                       1644                          908                           55.23%
GRANITE CREEK                 2814                          1406                          49.96%
GRAZE BRANCH                  1586                          852                           53.72%
GREENBRIAR                    1770                          930                           52.54%
HILLCREST                     2534                          1286                          50.75%
HOLLY TREE                    1370                          767                           55.99%
KILGORE FARMS                 2544                          1227                          48.23%
LOCUST HILL                   1532                          806                           52.61%
LONG CREEK                    1554                          861                           55.41%
MOORE CREEK                   3312                          1695                          51.18%
ONEAL                         2727                          1450                          53.17%
RANCH CREEK                   2736                          1265                          46.24%
RIVERSIDE                     2497                          1142                          45.73%
SPARROWS POINT                2355                          1172                          49.77%
STANDING SPRINGS              1824                          871                           47.75%
TRAVELERS REST 1              2522                          1295                          51.35%
TRAVELERS REST 2              1600                          761                           47.56%
TYGER RIVER                   1500                          616                           41.07%
VERDMONT                      2192                          1150                          52.46%
WARE PLACE                    1957                          980                           50.08%
Absentee                      0                             19384                         0.00%
Emergency                     0                             0                             0.00%
Failsafe                      0                             409                           0.00%
Provisional                   0                             107                           0.00%
Failsafe Provisional          0                             557                           0.00%
Total:                        335551                        178353                        53.15%

                                                                                                                                                                                                                                   STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Independence                                                Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
GREENVILLE 1                  1707                          137                           137                           1                             1                             1                             1                             0                             0                             0                             0                             280                           280                           2                             2                             421                           
GREENVILLE 3                  2426                          202                           202                           1                             1                             0                             0                             0                             0                             1                             1                             278                           278                           2                             2                             484                           
GREENVILLE 4                  2806                          430                           430                           7                             7                             2                             2                             0                             0                             1                             1                             171                           171                           4                             4                             615                           
GREENVILLE 5                  2949                          387                           387                           1                             1                             3                             3                             0                             0                             1                             1                             208                           208                           3                             3                             603                           
GREENVILLE 6                  684                           121                           121                           2                             2                             0                             0                             0                             0                             3                             3                             24                            24                            1                             1                             151                           
GREENVILLE 7                  2190                          458                           458                           6                             6                             3                             3                             0                             0                             3                             3                             96                            96                            1                             1                             567                           
GREENVILLE 8                  3067                          513                           513                           5                             5                             8                             8                             0                             0                             0                             0                             131                           131                           1                             1                             658                           
GREENVILLE 10                 2686                          311                           311                           1                             1                             2                             2                             0                             0                             1                             1                             218                           218                           5                             5                             538                           
GREENVILLE 14                 1861                          483                           483                           4                             4                             5                             5                             0                             0                             1                             1                             20                            20                            3                             3                             516                           
GREENVILLE 16                 2057                          132                           132                           3                             3                             1                             1                             0                             0                             0                             0                             229                           229                           5                             5                             370                           
GREENVILLE 17                 1760                          109                           109                           0                             0                             0                             0                             0                             0                             0                             0                             188                           188                           4                             4                             301                           
GREENVILLE 18                 1470                          85                            85                            1                             1                             0                             0                             0                             0                             0                             0                             200                           200                           2                             2                             288                           
GREENVILLE 19                 2394                          586                           586                           4                             4                             4                             4                             3                             3                             0                             0                             70                            70                            4                             4                             671                           
GREENVILLE 20                 1300                          61                            61                            0                             0                             0                             0                             0                             0                             2                             2                             143                           143                           2                             2                             208                           
GREENVILLE 21                 1576                          114                           114                           0                             0                             3                             3                             0                             0                             2                             2                             160                           160                           3                             3                             282                           
GREENVILLE 22                 2348                          149                           149                           0                             0                             3                             3                             0                             0                             1                             1                             321                           321                           3                             3                             477                           
GREENVILLE 23                 2030                          65                            65                            1                             1                             1                             1                             0                             0                             0                             0                             274                           274                           1                             1                             342                           
GREENVILLE 24                 4229                          424                           424                           6                             6                             4                             4                             0                             0                             5                             5                             456                           456                           4                             4                             899                           
GREENVILLE 25                 2176                          233                           233                           3                             3                             2                             2                             0                             0                             0                             0                             213                           213                           5                             5                             456                           
GREENVILLE 26                 1907                          286                           286                           2                             2                             2                             2                             0                             0                             5                             5                             146                           146                           3                             3                             444                           
GREENVILLE 27                 1278                          37                            37                            2                             2                             0                             0                             0                             0                             0                             0                             235                           235                           3                             3                             277                           
GREENVILLE 28                 1275                          137                           137                           2                             2                             0                             0                             0                             0                             0                             0                             97                            97                            2                             2                             238                           
GREENVILLE 29                 2037                          401                           401                           2                             2                             2                             2                             8                             8                             0                             0                             98                            98                            2                             2                             513                           
AIKEN                         1058                          192                           192                           3                             3                             1                             1                             0                             0                             0                             0                             106                           106                           2                             2                             304                           
ALTAMONT FOREST               1270                          84                            84                            0                             0                             0                             0                             0                             0                             1                             1                             328                           328                           4                             4                             417                           
ASHETON LAKES                 3129                          212                           212                           1                             1                             2                             2                             0                             0                             3                             3                             736                           736                           3                             3                             957                           
AVON                          1652                          158                           158                           3                             3                             1                             1                             0                             0                             2                             2                             329                           329                           4                             4                             497                           
BELLE MEADE                   1834                          567                           567                           3                             3                             5                             5                             2                             2                             0                             0                             22                            22                            1                             1                             600                           
BELLS CROSSING                2916                          250                           250                           5                             5                             2                             2                             0                             0                             3                             3                             568                           568                           5                             5                             833                           
BELMONT                       1010                          222                           222                           1                             1                             0                             0                             3                             3                             0                             0                             81                            81                            0                             0                             307                           
BEREA                         1467                          203                           203                           4                             4                             3                             3                             0                             0                             0                             0                             191                           191                           1                             1                             402                           
BOILING SPRINGS               2177                          192                           192                           2                             2                             1                             1                             0                             0                             0                             0                             412                           412                           3                             3                             610                           
BOTANY WOODS                  1823                          169                           169                           2                             2                             0                             0                             0                             0                             1                             1                             286                           286                           3                             3                             461                           
BROOKGLENN                    1316                          135                           135                           3                             3                             4                             4                             0                             0                             0                             0                             245                           245                           2                             2                             389                           
CANEBRAKE                     2915                          248                           248                           3                             3                             2                             2                             0                             0                             1                             1                             580                           580                           5                             5                             839                           
CAROLINA                      1548                          348                           348                           3                             3                             1                             1                             2                             2                             0                             0                             85                            85                            3                             3                             442                           
CHESTNUT HILLS                1858                          241                           241                           9                             9                             2                             2                             0                             0                             1                             1                             207                           207                           2                             2                             462                           
CIRCLE CREEK                  2743                          237                           237                           3                             3                             0                             0                             0                             0                             2                             2                             626                           626                           1                             1                             869                           
CLEAR CREEK                   1650                          90                            90                            5                             5                             3                             3                             0                             0                             0                             0                             433                           433                           4                             4                             535                           
CONESTEE                      2377                          361                           361                           6                             6                             1                             1                             0                             0                             2                             2                             315                           315                           8                             8                             693                           
DARBY RIDGE                   2550                          117                           117                           2                             2                             3                             3                             0                             0                             3                             3                             661                           661                           6                             6                             792                           
DEL NORTE                     2541                          244                           244                           5                             5                             0                             0                             0                             0                             2                             2                             337                           337                           4                             4                             592                           
DEVENGER                      1929                          120                           120                           2                             2                             1                             1                             0                             0                             0                             0                             393                           393                           2                             2                             518                           
DONALDSON                     1049                          278                           278                           0                             0                             4                             4                             1                             1                             0                             0                             72                            72                            2                             2                             357                           
