




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ADRIAN                        1875                          764                           40.75%
ALLSBROOK                     647                           321                           49.61%
ATLANTIC BEACH                295                           60                            20.34%
AYNOR                         1556                          782                           50.26%
BAYBORO-GURLEY                1299                          589                           45.34%
BROOKSVILLE #1                3078                          1521                          49.42%
BROWNWAY                      1571                          721                           45.89%
BURGESS #1                    2276                          1198                          52.64%
BURGESS #2                    3330                          1762                          52.91%
CAROLINA FOREST #1            2876                          1208                          42.00%
CAROLINA FOREST #2            2108                          892                           42.31%
CEDAR GROVE                   767                           382                           49.80%
CHERRY GROVE #1               1775                          878                           49.46%
CHERRY GROVE #2               1981                          1131                          57.09%
COASTAL CAROLINA              1597                          579                           36.26%
COASTAL LANE #1               973                           387                           39.77%
COASTAL LANE #2               1322                          437                           33.06%
COOL SPRINGS                  385                           208                           54.03%
CRESENT                       1785                          777                           43.53%
DAISY                         1222                          559                           45.74%
DEERFIELD                     2539                          1221                          48.09%
DOGBLUFF                      974                           424                           43.53%
DOGWOOD                       1375                          654                           47.56%
DUNES #1                      2847                          1624                          57.04%
DUNES #2                      2016                          1034                          51.29%
DUNES #3                      1060                          558                           52.64%
EAST CONWAY                   1224                          557                           45.51%
EAST LORIS                    2547                          1179                          46.29%
EBENEZER                      2034                          1086                          53.39%
EMERALD FOREST #1             2519                          952                           37.79%
EMERALD FOREST #2             3922                          1659                          42.30%
EMERALD FOREST #3             2524                          1212                          48.02%
ENTERPRISE                    3594                          1648                          45.85%
FORESTBROOK                   3214                          1483                          46.14%
FOUR MILE                     1758                          793                           45.11%
GALLIVANTS FERRY              162                           87                            53.70%
GARDEN CITY #1                2019                          993                           49.18%
GARDEN CITY #2                1344                          705                           52.46%
GARDEN CITY #3                1836                          874                           47.60%
GARDEN CITY #4                1141                          577                           50.57%
GLENNS BAY                    2114                          1006                          47.59%
GREEN SEA                     819                           422                           51.53%
HICKORY GROVE                 1453                          657                           45.22%
HICKORY HILL                  149                           87                            58.39%
HOMEWOOD                      1495                          666                           44.55%
HORRY                         1109                          538                           48.51%
INLAND                        340                           180                           52.94%
JACKSON BLUFF                 616                           280                           45.45%
JAMESTOWN                     3104                          1331                          42.88%
JERIGANS CROSSROADS           638                           327                           51.25%
JET PORT #1                   1978                          811                           41.00%
JET PORT #2                   4998                          2086                          41.74%
JORDANVILLE                   485                           243                           50.10%
JOYNER SWAMP                  407                           199                           48.89%
JUNIPER BAY                   1743                          779                           44.69%
LAKE PARK #1                  2103                          788                           37.47%
LEON                          1669                          800                           47.93%
LITTLE RIVER #1               1601                          820                           51.22%
LITTLE RIVER #2               2908                          1387                          47.70%
LITTLE RIVER #3               2061                          1146                          55.60%
LIVE OAK                      685                           358                           52.26%
MAPLE                         1360                          738                           54.26%
MARLOWE #1                    2311                          1092                          47.25%
METHODIST-MILL SWAMP          676                           361                           53.40%
MT. OLIVE                     795                           367                           46.16%
MT. VERNON                    534                           267                           50.00%
MYRTLE TRACE                  1482                          639                           43.12%
MYRTLEWOOD #1                 1511                          548                           36.27%
MYRTLEWOOD #2                 1704                          794                           46.60%
MYRTLEWOOD #3                 1806                          917                           50.78%
NIXONS XROADS #1              1881                          837                           44.50%
NIXONS XROADS #2              2784                          1282                          46.05%
NORTH CONWAY #1               1567                          704                           44.93%
NORTH CONWAY #2               1160                          578                           49.83%
OCEAN DRIVE #1                2204                          1081                          49.05%
OCEAN DRIVE #2                3376                          1676                          49.64%
OCEAN FOREST #1               1623                          800                           49.29%
OCEAN FOREST #2               1764                          829                           47.00%
OCEAN FOREST #3               1124                          430                           38.26%
PALMETTO BAYS                 3598                          1638                          45.53%
PAWLEYS SWAMP                 542                           229                           42.25%
PLEASANT VIEW                 236                           116                           49.15%
POPLAR HILL                   763                           371                           48.62%
PORT HARRELSON                688                           343                           49.85%
RACEPATH #1                   1311                          522                           39.82%
RACEPATH #2                   1557                          533                           34.23%
RED BLUFF                     1018                          450                           44.20%
RED HILL #1                   1244                          389                           31.27%
RED HILL #2                   2317                          1059                          45.71%
SALEM                         2081                          1045                          50.22%
SEA OATS #1                   1895                          604                           31.87%
SEA OATS #2                   1524                          554                           36.35%
SEA WINDS                     3691                          1656                          44.87%
SHELL                         1163                          638                           54.86%
SOCASTEE #1                   3070                          1222                          39.80%
SOCASTEE #2                   1524                          656                           43.04%
SOCASTEE #3                   3345                          1479                          44.22%
SOCASTEE #4                   4127                          1620                          39.25%
SPRING BRANCH                 326                           182                           55.83%
SURFSIDE #1                   2229                          1115                          50.02%
SURFSIDE #2                   1069                          582                           54.44%
SURFSIDE #3                   2454                          1138                          46.37%
SURFSIDE #4                   2630                          1222                          46.46%
SWEET HOME                    1083                          485                           44.78%
TAYLORSVILLE                  288                           149                           51.74%
TILLY SWAMP                   1355                          752                           55.50%
TODDVILLE                     1396                          696                           49.86%
WAMPEE                        1703                          819                           48.09%
WEST CONWAY                   727                           317                           43.60%
WEST LORIS                    841                           368                           43.76%
WHITE OAK                     642                           306                           47.66%
WILD WING                     3078                          1259                          40.90%
WINDY HILL #1                 1374                          668                           48.62%
WINDY HILL #2                 2468                          1342                          54.38%
BURGESS #3                    3287                          1783                          54.24%
MARLOWE #2                    3558                          1710                          48.06%
BURGESS #4                    1784                          913                           51.18%
MARLOWE #3                    1854                          857                           46.22%
BROOKSVILLE #2                1182                          631                           53.38%
CAROLINA BAYS                 2220                          1038                          46.76%
NIXONS XROADS #3              1753                          957                           54.59%
RIVER OAKS                    2534                          1105                          43.61%
LAKE PARK #2                  1364                          542                           39.74%
LAKE PARK #3                  1695                          757                           44.66%
Absentee                      0                             10549                         0.00%
Absentee 2                    0                             682                           0.00%
Emergency                     0                             325                           0.00%
Emergency 2                   0                             5                             0.00%
Failsafe                      0                             114                           0.00%
Failsafe 2                    0                             1                             0.00%
Provisional                   0                             55                            0.00%
Provisional 2                 0                             0                             0.00%
Failsafe Provisional          0                             16                            0.00%
Total:                        216092                        111891                        51.78%

                                                                                                                                                                                                                                   STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    Libertarian                                                 
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
ADRIAN                        1875                          149                           149                           3                             3                             0                             0                             0                             0                             412                           412                           8                             8                             0                             0                             572                           
ALLSBROOK                     647                           37                            37                            0                             0                             0                             0                             0                             0                             217                           217                           2                             2                             0                             0                             256                           
ATLANTIC BEACH                295                           47                            47                            1                             1                             0                             0                             0                             0                             4                             4                             0                             0                             0                             0                             52                            
AYNOR                         1556                          105                           105                           6                             6                             3                             3                             1                             1                             458                           458                           5                             5                             0                             0                             578                           
BAYBORO-GURLEY                1299                          174                           174                           2                             2                             5                             5                             0                             0                             281                           281                           2                             2                             0                             0                             464                           
BROOKSVILLE #1                3078                          352                           352                           4                             4                             4                             4                             2                             2                             722                           722                           4                             4                             0                             0                             1088                          
BROWNWAY                      1571                          89                            89                            2                             2                             2                             2                             1                             1                             464                           464                           5                             5                             0                             0                             563                           
BURGESS #1                    2276                          191                           191                           2                             2                             0                             0                             1                             1                             592                           592                           7                             7                             0                             0                             793                           
BURGESS #2                    3330                          345                           345                           1                             1                             1                             1                             1                             1                             894                           894                           7                             7                             0                             0                             1249                          
CAROLINA FOREST #1            2876                          282                           282                           6                             6                             4                             4                             0                             0                             565                           565                           9                             9                             0                             0                             866                           
CAROLINA FOREST #2            2108                          193                           193                           1                             1                             2                             2                             2                             2                             386                           386                           3                             3                             0                             0                             587                           
CEDAR GROVE                   767                           31                            31                            0                             0                             1                             1                             1                             1                             228                           228                           3                             3                             0                             0                             264                           
CHERRY GROVE #1               1775                          129                           129                           6                             6                             0                             0                             2                             2                             494                           494                           2                             2                             0                             0                             633                           
CHERRY GROVE #2               1981                          193                           193                           2                             2                             2                             2                             0                             0                             595                           595                           2                             2                             0                             0                             794                           
COASTAL CAROLINA              1597                          152                           152                           2                             2                             0                             0                             3                             3                             205                           205                           2                             2                             0                             0                             364                           
COASTAL LANE #1               973                           298                           298                           2                             2                             1                             1                             1                             1                             38                            38                            1                             1                             0                             0                             341                           
COASTAL LANE #2               1322                          247                           247                           1                             1                             3                             3                             2                             2                             93                            93                            1                             1                             0                             0                             347                           
