




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
BLACK RIVER                   317                           159                           50.16%
BLOOMINGVALE                  751                           375                           49.93%
CADES                         502                           222                           44.22%
CEDAR SWAMP                   319                           157                           49.22%
CENTRAL                       858                           377                           43.94%
EARLES                        554                           283                           51.08%
GREELEYVILLE                  1293                          558                           43.16%
HARMONY                       283                           172                           60.78%
HEBRON                        447                           62                            13.87%
HEMINGWAY                     1445                          697                           48.24%
HENRY-POPLAR HILL             524                           265                           50.57%
INDIANTOWN                    1338                          595                           44.47%
KINGSTREE NO.1                2775                          1104                          39.78%
KINGSTREE NO.2                880                           244                           27.73%
KINGSTREE NO.3                2132                          700                           32.83%
KINGSTREE NO.4                1175                          453                           38.55%
LANE                          823                           408                           49.57%
MORRISVILLE                   211                           121                           57.35%
MOUNT VERNON                  370                           178                           48.11%
NESMITH                       532                           300                           56.39%
PERGAMOS                      181                           113                           62.43%
PINEY FOREST                  328                           201                           61.28%
SALTERS                       979                           481                           49.13%
SANDY BAY                     320                           174                           54.38%
SINGLETARY                    255                           138                           54.12%
SUTTONS                       220                           122                           55.45%
TRIO                          813                           382                           46.99%
MUDDY CREEK                   723                           416                           57.54%
Absentee                      0                             2119                          0.00%
Emergency                     0                             152                           0.00%
Failsafe                      0                             0                             0.00%
Provisional                   0                             38                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        21348                         11773                         55.15%

                                                                                                                                                                                                     STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
BLACK RIVER                   317                           78                            78                            2                             2                             5                             5                             0                             0                             34                            34                            0                             0                             119                           
BLOOMINGVALE                  751                           214                           214                           1                             1                             5                             5                             0                             0                             90                            90                            2                             2                             312                           
CADES                         502                           114                           114                           2                             2                             1                             1                             0                             0                             56                            56                            0                             0                             173                           
CEDAR SWAMP                   319                           52                            52                            0                             0                             1                             1                             0                             0                             59                            59                            0                             0                             112                           
CENTRAL                       858                           181                           181                           2                             2                             1                             1                             1                             1                             68                            68                            1                             1                             254                           
EARLES                        554                           54                            54                            0                             0                             0                             0                             0                             0                             169                           169                           1                             1                             224                           
GREELEYVILLE                  1293                          386                           386                           0                             0                             0                             0                             1                             1                             54                            54                            0                             0                             441                           
HARMONY                       283                           41                            41                            0                             0                             0                             0                             0                             0                             99                            99                            0                             0                             140                           
HEBRON                        447                           10                            10                            0                             0                             0                             0                             0                             0                             35                            35                            0                             0                             45                            
HEMINGWAY                     1445                          334                           334                           1                             1                             2                             2                             0                             0                             155                           155                           4                             4                             496                           
HENRY-POPLAR HILL             524                           85                            85                            1                             1                             1                             1                             1                             1                             60                            60                            0                             0                             148                           
INDIANTOWN                    1338                          334                           334                           2                             2                             4                             4                             2                             2                             42                            42                            0                             0                             384                           
KINGSTREE NO.1                2775                          419                           419                           5                             5                             7                             7                             0                             0                             306                           306                           2                             2                             739                           
KINGSTREE NO.2                880                           200                           200                           1                             1                             1                             1                             0                             0                             6                             6                             0                             0                             208                           
KINGSTREE NO.3                2132                          509                           509                           4                             4                             7                             7                             3                             3                             37                            37                            4                             4                             564                           
KINGSTREE NO.4                1175                          271                           271                           9                             9                             3                             3                             0                             0                             62                            62                            2                             2                             347                           
LANE                          823                           331                           331                           3                             3                             1                             1                             1                             1                             20                            20                            2                             2                             358                           
MORRISVILLE                   211                           99                            99                            1                             1                             1                             1                             0                             0                             6                             6                             1                             1                             108                           
MOUNT VERNON                  370                           88                            88                            0                             0                             2                             2                             0                             0                             46                            46                            0                             0                             136                           
NESMITH                       532                           224                           224                           2                             2                             4                             4                             1                             1                             20                            20                            0                             0                             251                           
PERGAMOS                      181                           44                            44                            0                             0                             0                             0                             0                             0                             52                            52                            0                             0                             96                            
PINEY FOREST                  328                           1                             1                             0                             0                             1                             1                             0                             0                             162                           162                           1                             1                             165                           
SALTERS                       979                           344                           344                           0                             0                             0                             0                             1                             1                             37                            37                            3                             3                             385                           
SANDY BAY                     320                           39                            39                            2                             2                             0                             0                             0                             0                             71                            71                            2                             2                             114                           
SINGLETARY                    255                           88                            88                            0                             0                             2                             2                             1                             1                             7                             7                             1                             1                             99                            
SUTTONS                       220                           30                            30                            2                             2                             0                             0                             0                             0                             62                            62                            1                             1                             95                            
TRIO                          813                           290                           290                           1                             1                             1                             1                             0                             0                             23                            23                            1                             1                             316                           
MUDDY CREEK                   723                           106                           106                           2                             2                             0                             0                             0                             0                             128                           128                           1                             1                             237                           
Absentee                      0                             1329                          1329                          10                            10                            20                            20                            6                             6                             241                           241                           8                             8                             1614                          
Emergency                     0                             11                            11                            0                             0                             1                             1                             0                             0                             106                           106                           0                             0                             118                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             13                            13                            0                             0                             0                             0                             0                             0                             16                            16                            0                             0                             29                            
Failsafe Provisional          0                             4                             4                             0                             0                             1                             1                             0                             0                             1                             1                             0                             0                             6                             
Totals:                       21348                         6323                          6323                          53                            53                            72                            72                            18                            18                            2330                          2330                          37                            37                            8833                          

                                                                                                           Governor and Lieutenant Governor (Vote For 1)
                                                            James Smith / Mandy Powers Norrell                          Henry McMaster / Pamela Evette                              Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
BLACK RIVER                   317                           92                            92                            64                            64                            0                             0                             156                           
BLOOMINGVALE                  751                           242                           242                           125                           125                           1                             1                             368                           
CADES                         502                           132                           132                           83                            83                            0                             0                             215                           
CEDAR SWAMP                   319                           72                            72                            80                            80                            1                             1                             153                           
CENTRAL                       858                           242                           242                           132                           132                           0                             0                             374                           
EARLES                        554                           75                            75                            205                           205                           0                             0                             280                           
GREELEYVILLE                  1293                          442                           442                           101                           101                           0                             0                             543                           
HARMONY                       283                           49                            49                            120                           120                           0                             0                             169                           
HEBRON                        447                           12                            12                            50                            50                            0                             0                             62                            
HEMINGWAY                     1445                          423                           423                           254                           254                           2                             2                             679                           
HENRY-POPLAR HILL             524                           127                           127                           129                           129                           2                             2                             258                           
INDIANTOWN                    1338                          486                           486                           99                            99                            0                             0                             585                           
KINGSTREE NO.1                2775                          551                           551                           536                           536                           2                             2                             1089                          
KINGSTREE NO.2                880                           234                           234                           10                            10                            0                             0                             244                           
KINGSTREE NO.3                2132                          621                           621                           62                            62                            0                             0                             683                           
KINGSTREE NO.4                1175                          333                           333                           104                           104                           0                             0                             437                           
LANE                          823                           371                           371                           30                            30                            1                             1                             402                           
MORRISVILLE                   211                           110                           110                           10                            10                            0                             0                             120                           
MOUNT VERNON                  370                           105                           105                           71                            71                            0                             0                             176                           
NESMITH                       532                           252                           252                           42                            42                            0                             0                             294                           
PERGAMOS                      181                           48                            48                            64                            64                            0                             0                             112                           
PINEY FOREST                  328                           8                             8                             191                           191                           0                             0                             199                           
SALTERS                       979                           399                           399                           71                            71                            0                             0                             470                           
SANDY BAY                     320                           55                            55                            116                           116                           0                             0                             171                           
SINGLETARY                    255                           114                           114                           23                            23                            0                             0                             137                           
SUTTONS                       220                           38                            38                            81                            81                            1                             1                             120                           
TRIO                          813                           333                           333                           44                            44                            0                             0                             377                           
MUDDY CREEK                   723                           145                           145                           266                           266                           0                             0                             411                           
Absentee                      0                             1618                          1618                          457                           457                           1                             1                             2076                          
Emergency                     0                             19                            19                            132                           132                           0                             0                             151                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             16                            16                            20                            20                            0                             0                             36                            
Failsafe Provisional          0                             5                             5                             2                             2                             0                             0                             7                             
Totals:                       21348                         7769                          7769                          3774                          3774                          11                            11                            11554                         

                                                                                                           Secretary of State (Vote For 1)
                                                            Melvin T Whittenburg                                        Mark Hammond                                                Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
BLACK RIVER                   317                           91                            91                            64                            64                            0                             0                             155                           
BLOOMINGVALE                  751                           242                           242                           128                           128                           0                             0                             370                           
CADES                         502                           132                           132                           80                            80                            0                             0                             212                           
CEDAR SWAMP                   319                           70                            70                            82                            82                            1                             1                             153                           
CENTRAL                       858                           234                           234                           138                           138                           0                             0                             372                           
EARLES                        554                           70                            70                            211                           211                           0                             0                             281                           
GREELEYVILLE                  1293                          448                           448                           103                           103                           1                             1                             552                           
HARMONY                       283                           49                            49                            121                           121                           0                             0                             170                           
HEBRON                        447                           12                            12                            50                            50                            0                             0                             62                            
HEMINGWAY                     1445                          416                           416                           261                           261                           1                             1                             678                           
HENRY-POPLAR HILL             524                           124                           124                           137                           137                           0                             0                             261                           
INDIANTOWN                    1338                          478                           478                           106                           106                           0                             0                             584                           
KINGSTREE NO.1                2775                          519                           519                           563                           563                           0                             0                             1082                          
KINGSTREE NO.2                880                           234                           234                           10                            10                            0                             0                             244                           
KINGSTREE NO.3                2132                          618                           618                           64                            64                            0                             0                             682                           
KINGSTREE NO.4                1175                          332                           332                           104                           104                           0                             0                             436                           
LANE                          823                           370                           370                           31                            31                            2                             2                             403                           
MORRISVILLE                   211                           110                           110                           10                            10                            0                             0                             120                           
MOUNT VERNON                  370                           104                           104                           73                            73                            0                             0                             177                           
NESMITH                       532                           255                           255                           39                            39                            0                             0                             294                           
PERGAMOS                      181                           47                            47                            66                            66                            0                             0                             113                           
PINEY FOREST                  328                           5                             5                             193                           193                           0                             0                             198                           
SALTERS                       979                           395                           395                           75                            75                            0                             0                             470                           
SANDY BAY                     320                           46                            46                            126                           126                           0                             0                             172                           
SINGLETARY                    255                           112                           112                           24                            24                            0                             0                             136                           
SUTTONS                       220                           35                            35                            86                            86                            0                             0                             121                           
TRIO                          813                           329                           329                           46                            46                            0                             0                             375                           
MUDDY CREEK                   723                           140                           140                           269                           269                           0                             0                             409                           
Absentee                      0                             1604                          1604                          473                           473                           0                             0                             2077                          
Emergency                     0                             11                            11                            139                           139                           0                             0                             150                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             12                            12                            21                            21                            0                             0                             33                            
Failsafe Provisional          0                             6                             6                             1                             1                             0                             0                             7                             
Totals:                       21348                         7650                          7650                          3894                          3894                          5                             5                             11549                         

                                                                                                                                                                       State Treasurer (Vote For 1)
                                                            Rosalyn L Glenn                                             Rosalyn Glenn                                               Curtis Loftis                                               Sarah Work                                                  Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
BLACK RIVER                   317                           84                            84                            4                             4                             67                            67                            1                             1                             0                             0                             156                           
BLOOMINGVALE                  751                           239                           239                           2                             2                             124                           124                           4                             4                             0                             0                             369                           
CADES                         502                           131                           131                           1                             1                             80                            80                            3                             3                             0                             0                             215                           
