,join_col
8,001-Donalds
15,003-Srs
100,005-Allendale no. 1
101,005-Allendale no. 2
102,005-Fairfax no. 1
103,005-Fairfax no. 2
109,007-Barker's creek
119,007-Neals creek
126,007-Fork no. 1
142,007-Fork no. 2
147,007-North point
151,007-Shirleys store
163,007-Wrights school
180,007-Cox creek
201,011-Barnwell no. 1
202,011-Barnwell no. 2
203,011-Barnwell no. 3
204,011-Barnwell no. 4
205,011-Blackville no. 1
206,011-Blackville no. 2
213,011-Williston no. 1
214,011-Williston no. 2
215,011-Williston no. 3
216,011-Srs
247,013-St. helena 1a
248,013-St. helena 1b
249,013-St. helena 1c
250,013-St. helena 2a
251,013-St. helena 2b
252,013-St. helena 2c
426,019-Licolnville
585,021-Antioch and king's creek
599,021-Holly grove and buffalo
601,021-Little john and sarratt's
611,021-Wood's
648,025-Mt. croghan
683,029-Canady's
710,029-Wolfe creek
847,037-Edgefield no. 1
848,037-Edgefield no. 2
849,037-Johnston no. 1
850,037-Johnston no. 2
851,037-Trenton 1
852,037-Merriweather no. 1
857,037-Merriweather no. 2
858,037-Trenton 2
864,039-Gladden grove
865,039-Jekinsville
879,039-Woodward
1180,049-Hampton cthse 1
1181,049-Hampton cthse 2
1383,057-Gooch's cross road
1442,061-Bishopville no. 1
1443,061-Bishopville no. 2
1444,061-Bishopville no. 4
1455,061-S lynchburg
1461,061-Bishopville no. 3
1470,063-Beulah church
1568,065-Clarks hill
1580,067-Northwest mullins
1581,067-Southwest mullins
1582,067-Northeast mullins
1583,067-Southeast mullins
1590,069-Redhill
1595,069-East bennettsville
1596,069-West bennettsville
1597,069-South bennettsville
1598,069-North bennettsville
1662,075-Orangeburg ward 1
1663,075-Orangeburg ward 2
1664,075-Orangeburg ward 3
1665,075-Orangeburg ward 4
1666,075-Orangeburg ward 5
1667,075-Orangeburg ward 6
1674,075-Orangeburg ward 7
1675,075-Orangeburg ward 8
1678,075-Orangeburg ward 9
1680,075-Orangeburg ward 10
1773,077-Mcalister
1774,077-Lenhardt
2042,085-Saint john
2053,085-Saint paul
2127,089-Henry poplar hl
2128,089-Kingstree no. 1
2129,089-Kingstree no. 2
2130,089-Kingstree no. 3
2131,089-Kingstree no. 4
