




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Awendaw                       1314                          598                           45.51%
Christ Church                 912                           403                           44.19%
Isle Of Palms 1A              1042                          536                           51.44%
Isle of Palms 1B              1408                          734                           52.13%
Isle of Palms 1C              1622                          812                           50.06%
Sullivans Island              1648                          941                           57.10%
McClellanville                1568                          795                           50.70%
Deer Park 1A                  1313                          386                           29.40%
Deer Park 1B                  3078                          779                           25.31%
Deer Park 2A                  2782                          810                           29.12%
Deer Park 2B                  1900                          539                           28.37%
Deer Park 2C                  1010                          391                           38.71%
Deer Park 3                   1921                          726                           37.79%
Lincolnville                  1744                          753                           43.18%
Ladson                        2808                          893                           31.80%
Edisto Island                 1491                          734                           49.23%
Wadmalaw Island 1             1056                          515                           48.77%
Wadmalaw Island 2             1115                          548                           49.15%
Kiawah Island                 1771                          910                           51.38%
Town of Seabrook              2079                          1212                          58.30%
Folly Beach 1                 1011                          558                           55.19%
Folly Beach 2                 1237                          685                           55.38%
Charleston 1                  798                           418                           52.38%
Charleston 2                  948                           427                           45.04%
Charleston 3                  1054                          543                           51.52%
Charleston 4                  936                           389                           41.56%
Charleston 5                  942                           405                           42.99%
Charleston 6                  1293                          489                           37.82%
Charleston 7                  1404                          459                           32.69%
Charleston 8                  1148                          402                           35.02%
Charleston 9                  960                           347                           36.15%
Charleston 10                 848                           221                           26.06%
Charleston 11                 1575                          505                           32.06%
Charleston 12                 1373                          527                           38.38%
Charleston 13                 1202                          483                           40.18%
Charleston 14                 1124                          351                           31.23%
Charleston 15                 1304                          370                           28.37%
Charleston 16                 1180                          522                           44.24%
Charleston 17                 1228                          462                           37.62%
Charleston 18                 1434                          538                           37.52%
Charleston 19                 803                           340                           42.34%
Charleston 20                 1294                          637                           49.23%
Charleston 21                 718                           267                           37.19%
Mt. Pleasant 1                1497                          824                           55.04%
Mt. Pleasant 2                1199                          473                           39.45%
Mt. Pleasant 3                1651                          687                           41.61%
Mt. Pleasant 4                1592                          679                           42.65%
Mt. Pleasant 5                1338                          648                           48.43%
Mt. Pleasant 6                2075                          775                           37.35%
Mt. Pleasant 7                994                           412                           41.45%
Mt. Pleasant 8                907                           370                           40.79%
Mt. Pleasant 9                1082                          430                           39.74%
Mt. Pleasant 10               1009                          407                           40.34%
Mt. Pleasant 11               1193                          493                           41.32%
Mt. Pleasant 12               2214                          797                           36.00%
Mt. Pleasant 13               1212                          486                           40.10%
Mt. Pleasant 14               1496                          570                           38.10%
