




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Ward 1                        1424                          518                           36.38%
Ward 2                        1111                          263                           23.67%
Ward 3                        1558                          739                           47.43%
Ward 4                        1473                          749                           50.85%
Ward 5                        1299                          403                           31.02%
Ward 6                        1344                          753                           56.03%
Ward 7                        1188                          399                           33.59%
Ward 8                        2236                          245                           10.96%
Ward 9                        1182                          359                           30.37%
Ward 10                       1491                          808                           54.19%
Ward 11                       1391                          598                           42.99%
Ward 12                       1502                          775                           51.60%
Ward 13                       2004                          1129                          56.34%
Ward 14                       1541                          928                           60.22%
Ward 15                       1006                          572                           56.86%
Ward 16                       1317                          805                           61.12%
Ward 17                       1573                          948                           60.27%
Ward 18                       1183                          509                           43.03%
Ward 19                       1373                          459                           33.43%
Ward 20                       1802                          824                           45.73%
Ward 21                       1594                          621                           38.96%
Ward 22                       1506                          668                           44.36%
Ward 23                       956                           512                           53.56%
Ward 24                       952                           567                           59.56%
Ward 25                       1585                          964                           60.82%
Ward 26                       1509                          587                           38.90%
Ward 29                       1363                          533                           39.10%
Ward 30                       1139                          398                           34.94%
Ward 31                       951                           346                           36.38%
Ward 32                       958                           268                           27.97%
Ward 33                       1057                          405                           38.32%
Ward 34                       1171                          581                           49.62%
Arcadia                       1529                          789                           51.60%
Ardincaple                    498                           241                           48.39%
Ballentine 1                  1458                          727                           49.86%
Ballentine 2                  1813                          914                           50.41%
Beatty Road                   973                           317                           32.58%
Bluff                         2014                          881                           43.74%
Blythewood 1                  1828                          983                           53.77%
Blythewood 2                  2209                          1214                          54.96%
Blythewood 3                  2329                          1245                          53.46%
Bookman                       2814                          1466                          52.10%
Brandon 1                     1883                          841                           44.66%
Brandon 2                     1952                          776                           39.75%
Briarwood                     2596                          1106                          42.60%
Bridge Creek                  2095                          1050                          50.12%
Caughman Road                 1919                          868                           45.23%
College Place                 1575                          592                           37.59%
Cooper                        1192                          664                           55.70%
Dennyside                     1056                          476                           45.08%
Dentsville                    2220                          823                           37.07%
Dutch Fork 1                  1228                          614                           50.00%
Dutch Fork 2                  1386                          715                           51.59%
Dutch Fork 3                  2295                          1279                          55.73%
Dutch Fork 4                  1704                          916                           53.76%
Eastover                      1295                          609                           47.03%
Edgewood                      1916                          635                           33.14%
Estates                       2105                          1076                          51.12%
Fairlawn                      2853                          1234                          43.25%
Fairwold                      852                           370                           43.43%
East Forest Acres             1304                          693                           53.14%
North Forest Acres            1389                          665                           47.88%
South Forest Acres            1583                          867                           54.77%
Friarsgate 1                  1592                          803                           50.44%
Friarsgate 2                  1413                          704                           49.82%
Old Friarsgate                1306                          665                           50.92%
Gadsden                       1400                          699                           49.93%
Garners                       913                           415                           45.45%
Greenview                     1673                          794                           47.46%
Gregg Park                    2076                          864                           41.62%
Hampton                       1664                          733                           44.05%
Harbison 1                    2204                          928                           42.11%
Harbison 2                    1339                          609                           45.48%
Hopkins 1                     1392                          620                           44.54%
Hopkins 2                     1641                          706                           43.02%
Horrell Hill                  2297                          964                           41.97%
Hunting Creek                 481                           238                           49.48%
Keels 1                       1972                          722                           36.61%
Keels 2                       1474                          558                           37.86%
Keenan                        1756                          873                           49.72%
Kelly Mill                    1977                          935                           47.29%
Killian                       2162                          1052                          48.66%
Kingswood                     2818                          1251                          44.39%
Lake Carolina                 2922                          1457                          49.86%
Lincolnshire                  2114                          905                           42.81%
Longcreek                     4395                          2301                          52.35%
Longleaf                      1683                          838                           49.79%
Lykesland                     1809                          859                           47.48%
Mallet Hill                   2582                          1185                          45.89%
Meadowfield                   1717                          909                           52.94%
Meadowlake                    2218                          883                           39.81%
McEntire                      842                           385                           45.72%
Midway                        2652                          1030                          38.84%
Mill Creek                    1246                          562                           45.10%
Monticello                    1727                          834                           48.29%
North Springs 1               1304                          663                           50.84%
North Springs 2               2896                          1329                          45.89%
North Springs 3               1934                          967                           50.00%
Oak Pointe 1                  1273                          723                           56.79%
Oak Pointe 2                  722                           397                           54.99%
Oak Pointe 3                  1059                          568                           53.64%
Oakwood                       977                           520                           53.22%
Olympia                       2280                          660                           28.95%
Parkridge 1                   936                           489                           52.24%
Parkridge 2                   918                           319                           34.75%
Parkway 1                     2248                          1095                          48.71%
Parkway 2                     2201                          1115                          50.66%
Parkway 3                     1840                          908                           49.35%
Pennington 1                  1012                          703                           69.47%
Pennington 2                  1454                          819                           56.33%
Pine Grove                    1632                          721                           44.18%
Pine Lakes 1                  1117                          465                           41.63%
Pine Lakes 2                  1555                          648                           41.67%
Pinewood                      1838                          797                           43.36%
Polo Road                     2456                          1063                          43.28%
Pontiac 1                     2458                          1116                          45.40%
Pontiac 2                     1583                          821                           51.86%
Rice Creek 1                  1692                          745                           44.03%
Rice Creek 2                  2681                          1220                          45.51%
Ridge View 1                  2391                          1080                          45.17%
Ridge View 2                  2926                          1313                          44.87%
Ridgewood                     676                           304                           44.97%
Riverside                     1278                          445                           34.82%
Riversprings 1                1149                          649                           56.48%
Riversprings 2                1406                          725                           51.56%
Riversprings 3                1477                          794                           53.76%
Riverwalk                     2773                          1398                          50.41%
Round Top                     720                           385                           53.47%
St. Andrews                   1223                          523                           42.76%
Sandlapper                    2715                          1405                          51.75%
Satchelford                   1388                          841                           60.59%
Skyland                       1124                          448                           39.86%
South Beltline                1420                          587                           41.34%
Spring Hill                   2140                          1192                          55.70%
Spring Valley                 2754                          1292                          46.91%
Spring Valley West            2790                          1234                          44.23%
Springville 1                 1972                          1068                          54.16%
Springville 2                 1783                          952                           53.39%
Trenholm Road                 1057                          557                           52.70%
Trinity                       1260                          603                           47.86%
Valhalla                      2299                          1149                          49.98%
Valley State Park             3055                          1393                          45.60%
Walden                        1128                          385                           34.13%
Webber                        1120                          507                           45.27%
Westminster                   1800                          615                           34.17%
Whitewell                     1829                          606                           33.13%
Wildewood                     2869                          1311                          45.70%
Woodfield                     2596                          1048                          40.37%
Woodlands                     2178                          1320                          60.61%
Absentee                      0                             15015                         0.00%
Absentee 2                    0                             10188                         0.00%
Emergency                     0                             0                             0.00%
Emergency 2                   0                             0                             0.00%
Failsafe                      0                             185                           0.00%
Failsafe 2                    0                             155                           0.00%
Provisional                   0                             2                             0.00%
Provisional 2                 0                             10                            0.00%
Failsafe Provisional          0                             90                            0.00%
Total:                        252421                        142805                        56.57%

                                                                                                                                                                                                                                   STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    Libertarian                                                 
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Ward 1                        1424                          157                           157                           0                             0                             2                             2                             0                             0                             65                            65                            1                             1                             0                             0                             225                           
Ward 2                        1111                          144                           144                           2                             2                             4                             4                             0                             0                             16                            16                            0                             0                             0                             0                             166                           
Ward 3                        1558                          255                           255                           3                             3                             0                             0                             1                             1                             72                            72                            1                             1                             0                             0                             332                           
Ward 4                        1473                          242                           242                           2                             2                             0                             0                             1                             1                             70                            70                            0                             0                             0                             0                             315                           
Ward 5                        1299                          129                           129                           2                             2                             3                             3                             5                             5                             56                            56                            2                             2                             0                             0                             197                           
Ward 6                        1344                          232                           232                           1                             1                             1                             1                             0                             0                             130                           130                           4                             4                             0                             0                             368                           
Ward 7                        1188                          320                           320                           7                             7                             4                             4                             0                             0                             3                             3                             1                             1                             0                             0                             335                           
Ward 8                        2236                          195                           195                           1                             1                             5                             5                             1                             1                             3                             3                             2                             2                             0                             0                             207                           
Ward 9                        1182                          266                           266                           2                             2                             1                             1                             0                             0                             6                             6                             2                             2                             0                             0                             277                           
Ward 10                       1491                          153                           153                           0                             0                             1                             1                             2                             2                             89                            89                            2                             2                             0                             0                             247                           
Ward 11                       1391                          217                           217                           3                             3                             2                             2                             1                             1                             65                            65                            3                             3                             0                             0                             291                           
Ward 12                       1502                          174                           174                           1                             1                             0                             0                             4                             4                             91                            91                            1                             1                             0                             0                             271                           
Ward 13                       2004                          241                           241                           3                             3                             0                             0                             4                             4                             119                           119                           1                             1                             0                             0                             368                           
Ward 14                       1541                          168                           168                           0                             0                             0                             0                             2                             2                             88                            88                            1                             1                             0                             0                             259                           
Ward 15                       1006                          63                            63                            3                             3                             0                             0                             0                             0                             103                           103                           0                             0                             0                             0                             169                           
Ward 16                       1317                          63                            63                            0                             0                             1                             1                             0                             0                             161                           161                           1                             1                             0                             0                             226                           
Ward 17                       1573                          140                           140                           2                             2                             0                             0                             1                             1                             153                           153                           1                             1                             0                             0                             297                           
Ward 18                       1183                          355                           355                           6                             6                             3                             3                             1                             1                             32                            32                            2                             2                             0                             0                             399                           
Ward 19                       1373                          391                           391                           5                             5                             1                             1                             0                             0                             5                             5                             0                             0                             0                             0                             402                           
Ward 20                       1802                          368                           368                           9                             9                             2                             2                             0                             0                             61                            61                            1                             1                             0                             0                             441                           
Ward 21                       1594                          488                           488                           5                             5                             3                             3                             1                             1                             11                            11                            0                             0                             0                             0                             508                           
Ward 22                       1506                          533                           533                           6                             6                             5                             5                             0                             0                             16                            16                            1                             1                             0                             0                             561                           
Ward 23                       956                           125                           125                           0                             0                             0                             0                             3                             3                             69                            69                            1                             1                             0                             0                             198                           
Ward 24                       952                           55                            55                            0                             0                             1                             1                             0                             0                             88                            88                            0                             0                             0                             0                             144                           
Ward 25                       1585                          78                            78                            1                             1                             0                             0                             0                             0                             166                           166                           3                             3                             0                             0                             248                           
Ward 26                       1509                          227                           227                           4                             4                             2                             2                             2                             2                             72                            72                            2                             2                             0                             0                             309                           
Ward 29                       1363                          399                           399                           8                             8                             1                             1                             0                             0                             9                             9                             1                             1                             0                             0                             418                           
Ward 30                       1139                          125                           125                           2                             2                             0                             0                             0                             0                             53                            53                            2                             2                             0                             0                             182                           
Ward 31                       951                           255                           255                           2                             2                             3                             3                             0                             0                             2                             2                             0                             0                             0                             0                             262                           
Ward 32                       958                           215                           215                           1                             1                             3                             3                             0                             0                             3                             3                             0                             0                             0                             0                             222                           
Ward 33                       1057                          214                           214                           3                             3                             2                             2                             3                             3                             26                            26                            2                             2                             0                             0                             250                           
Ward 34                       1171                          148                           148                           2                             2                             0                             0                             3                             3                             89                            89                            4                             4                             0                             0                             246                           
Arcadia                       1529                          227                           227                           2                             2                             2                             2                             0                             0                             143                           143                           4                             4                             0                             0                             378                           
Ardincaple                    498                           179                           179                           2                             2                             2                             2                             0                             0                             3                             3                             2                             2                             0                             0                             188                           
Ballentine 1                  1458                          125                           125                           0                             0                             2                             2                             0                             0                             207                           207                           3                             3                             0                             0                             337                           
Ballentine 2                  1813                          94                            94                            3                             3                             0                             0                             0                             0                             368                           368                           1                             1                             0                             0                             466                           
Beatty Road                   973                           214                           214                           3                             3                             1                             1                             0                             0                             10                            10                            0                             0                             0                             0                             228                           
