




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Awendaw                       1497                          1129                          75.42%
Christ Church                 985                           740                           75.13%
Isle Of Palms 1A              1141                          875                           76.69%
Isle of Palms 1B              1524                          1181                          77.49%
Isle of Palms 1C              1810                          1424                          78.67%
Sullivans Island              1806                          1497                          82.89%
McClellanville                1785                          1360                          76.19%
Deer Park 1A                  1525                          904                           59.28%
Deer Park 1B                  3629                          2107                          58.06%
Deer Park 2A                  3137                          1767                          56.33%
Deer Park 2B                  2134                          1204                          56.42%
Deer Park 2C                  1136                          805                           70.86%
Deer Park 3                   2369                          1478                          62.39%
Lincolnville                  2155                          1444                          67.01%
Ladson                        3274                          2148                          65.61%
Edisto Island                 1666                          1349                          80.97%
Wadmalaw Island 1             1196                          930                           77.76%
Wadmalaw Island 2             1200                          916                           76.33%
Kiawah Island                 2085                          1624                          77.89%
Town of Seabrook              2383                          1773                          74.40%
Folly Beach 1                 1063                          763                           71.78%
Folly Beach 2                 1318                          999                           75.80%
Charleston 1                  824                           644                           78.16%
Charleston 2                  1006                          733                           72.86%
Charleston 3                  1075                          792                           73.67%
Charleston 4                  1027                          636                           61.93%
Charleston 5                  995                           611                           61.41%
Charleston 6                  1406                          819                           58.25%
Charleston 7                  1492                          811                           54.36%
Charleston 8                  1315                          764                           58.10%
Charleston 9                  1027                          554                           53.94%
Charleston 10                 806                           296                           36.72%
Charleston 11                 1724                          882                           51.16%
Charleston 12                 1745                          1119                          64.13%
Charleston 13                 1350                          839                           62.15%
Charleston 14                 1260                          667                           52.94%
Charleston 15                 1605                          769                           47.91%
Charleston 16                 1253                          836                           66.72%
Charleston 17                 1310                          874                           66.72%
Charleston 18                 1550                          994                           64.13%
Charleston 19                 882                           588                           66.67%
Charleston 20                 1395                          1038                          74.41%
Charleston 21                 797                           534                           67.00%
Mt. Pleasant 1                1635                          1313                          80.31%
Mt. Pleasant 2                1392                          903                           64.87%
Mt. Pleasant 3                1830                          1382                          75.52%
Mt. Pleasant 4                1818                          1292                          71.07%
Mt. Pleasant 5                1423                          1122                          78.85%
Mt. Pleasant 6                2244                          1639                          73.04%
Mt. Pleasant 7                1182                          845                           71.49%
Mt. Pleasant 8                968                           764                           78.93%
Mt. Pleasant 9                1162                          921                           79.26%
Mt. Pleasant 10               1151                          971                           84.36%
Mt. Pleasant 11               1414                          1036                          73.27%
Mt. Pleasant 12               2834                          2022                          71.35%
Mt. Pleasant 13               1302                          805                           61.83%
Mt. Pleasant 14               1672                          1002                          59.93%
Mt. Pleasant 15               2642                          2103                          79.60%
Mt. Pleasant 16               811                           681                           83.97%
Mt. Pleasant 17               3343                          2359                          70.57%
Mt. Pleasant 18               1271                          1050                          82.61%
Mt. Pleasant 19               2464                          1679                          68.14%
Mt. Pleasant 20               1627                          1248                          76.71%
Mt. Pleasant 21               1829                          1375                          75.18%
Mt. Pleasant 22               1947                          1519                          78.02%
Mt. Pleasant 23               2133                          1554                          72.86%
Mt. Pleasant 24               918                           677                           73.75%
Mt. Pleasant 25               1140                          938                           82.28%
Mt. Pleasant 26               630                           494                           78.41%
Mt. Pleasant 27               3148                          2472                          78.53%
Mt. Pleasant 28               1320                          1038                          78.64%
Mt. Pleasant 29               354                           291                           82.20%
Mt. Pleasant 30               2251                          1777                          78.94%
Mt. Pleasant 31               1650                          1294                          78.42%
Mt. Pleasant 32               3114                          2408                          77.33%
Mt. Pleasant 33               4910                          3808                          77.56%
Mt. Pleasant 34               1992                          1501                          75.35%
Mt. Pleasant 35               5878                          4393                          74.74%
Mt. Pleasant 36               2011                          1390                          69.12%
Mt. Pleasant 37               3967                          2983                          75.20%
Mt. Pleasant 38               2094                          1557                          74.36%
Mt. Pleasant 39               4163                          3466                          83.26%
James Island 1A               2274                          1709                          75.15%
James Island 1B               1131                          841                           74.36%
James Island 3                965                           706                           73.16%
James Island 5A               1487                          1211                          81.44%
James Island 5B               877                           683                           77.88%
James Island 6                1774                          1358                          76.55%
James Island 7                2298                          1682                          73.19%
James Island 8A               1694                          1264                          74.62%
James Island 8B               2428                          1509                          62.15%
James Island 9                1659                          1220                          73.54%
James Island 10               1786                          1236                          69.20%
James Island 11               2059                          1544                          74.99%
James Island 12               1382                          1135                          82.13%
James Island 13               1763                          1393                          79.01%
James Island 14               951                           732                           76.97%
James Island 15               1924                          1291                          67.10%
James Island 17               2193                          1388                          63.29%
James Island 19               1868                          1246                          66.70%
James Island 20               1735                          1246                          71.82%
James Island 22               1658                          1251                          75.45%
Johns Island 1A               2067                          1531                          74.07%
Johns Island 1B               2348                          1761                          75.00%
Johns Island 2                6004                          4379                          72.93%
Johns Island 3A               4507                          3528                          78.28%
Johns Island 3B               1777                          1376                          77.43%
Johns Island 4                1245                          947                           76.06%
St. Pauls 1                   865                           646                           74.68%
St. Pauls 2A                  953                           675                           70.83%
St. Pauls 2B                  1483                          1107                          74.65%
St. Pauls 3                   2136                          1747                          81.79%
St. Pauls 4                   1764                          1272                          72.11%
St. Pauls 5                   1178                          859                           72.92%
St. Pauls 6                   2279                          1767                          77.53%
St. Andrews 1                 760                           538                           70.79%
St. Andrews 2                 1368                          871                           63.67%
St. Andrews 3                 1502                          1123                          74.77%
St. Andrews 4                 1680                          1268                          75.48%
St. Andrews 5                 1418                          1142                          80.54%
St. Andrews 6                 1297                          1026                          79.11%
St. Andrews 7                 1901                          1441                          75.80%
St. Andrews 8                 949                           659                           69.44%
St. Andrews 9                 1369                          884                           64.57%
St. Andrews 10                1215                          852                           70.12%
St. Andrews 11                969                           796                           82.15%
St. Andrews 12                1084                          909                           83.86%
St. Andrews 13                1289                          863                           66.95%
St. Andrews 14                1487                          1098                          73.84%
St. Andrews 15                1610                          961                           59.69%
St. Andrews 16                1151                          872                           75.76%
St. Andrews 17                1806                          1347                          74.58%
St. Andrews 18                1946                          1296                          66.60%
ST. ANDREWS 19                358                           266                           74.30%
St. Andrews 20                2920                          1749                          59.90%
St. Andrews 21                942                           620                           65.82%
St. Andrews 22                1307                          970                           74.22%
St. Andrews 23                1209                          704                           58.23%
St. Andrews 24                1410                          930                           65.96%
St. Andrews 25                1709                          994                           58.16%
St. Andrews 26                1491                          1086                          72.84%
St. Andrews 27                4930                          3396                          68.88%
St. Andrews 28                3601                          2519                          69.95%
St. Andrews 29                3965                          2647                          66.76%
St. Andrews 30                2319                          1379                          59.47%
St. Andrews 31                1288                          932                           72.36%
St. Andrews 32                1208                          929                           76.90%
St. Andrews 33                801                           639                           79.78%
St. Andrews 34                2594                          1909                          73.59%
St. Andrews 35                1876                          1447                          77.13%
St. Andrews 36                1751                          1330                          75.96%
St. Andrews 37                5014                          3530                          70.40%
North Charleston 1            932                           548                           58.80%
North Charleston 2            541                           317                           58.60%
North Charleston 3            1306                          958                           73.35%
North Charleston 4            1256                          794                           63.22%
North Charleston 5            1901                          1149                          60.44%
North Charleston 6            1385                          828                           59.78%
North Charleston 7            1486                          698                           46.97%
North Charleston 8            1145                          754                           65.85%
North Charleston 9            1694                          1115                          65.82%
North Charleston 10           1403                          751                           53.53%
North Charleston 11           968                           719                           74.28%
North Charleston 12           1091                          832                           76.26%
North Charleston 13           938                           536                           57.14%
North Charleston 14           772                           530                           68.65%
North Charleston 15           1433                          809                           56.45%
North Charleston 16           1135                          713                           62.82%
North Charleston 17           878                           503                           57.29%
North Charleston 18           1887                          1124                          59.57%
North Charleston 19           1134                          761                           67.11%
North Charleston 20           791                           572                           72.31%
North Charleston 21           1409                          892                           63.31%
North Charleston 22           1497                          855                           57.11%
North Charleston 23           2285                          1485                          64.99%
North Charleston 24           2879                          1705                          59.22%
North Charleston 25           701                           424                           60.49%
North Charleston 26           414                           238                           57.49%
North Charleston 27           1099                          623                           56.69%
North Charleston 28           981                           466                           47.50%
North Charleston 29           883                           469                           53.11%
North Charleston 30           1961                          1286                          65.58%
Failsafe                      0                             127                           0.00%
Provisional                   0                             461                           0.00%
Failsafe Provisional          0                             301                           0.00%
Total:                        312487                        220794                        70.66%

