




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
BELLS                         307                           216                           70.36%
CANADYS                       600                           411                           68.50%
COTTAGEVILLE                  1770                          1220                          68.93%
EDISTO                        362                           245                           67.68%
GREEN POND                    939                           667                           71.03%
HENDERSONVILLE                1162                          845                           72.72%
HORSE PEN                     705                           489                           69.36%
HUDSON MILL                   617                           439                           71.15%
JACKSONBORO                   361                           240                           66.48%
MAPLE CANE                    1060                          730                           68.87%
MASHAWVILLE                   800                           588                           73.50%
PEEPLES                       1263                          791                           62.63%
PETITS                        260                           199                           76.54%
PENIEL                        1037                          647                           62.39%
RITTER                        773                           527                           68.18%
ROUND O                       1141                          718                           62.93%
RICE PATCH                    644                           481                           74.69%
RUFFIN                        303                           209                           68.98%
SIDNEYS                       609                           426                           69.95%
STOKES                        718                           509                           70.89%
SNIDERS                       663                           487                           73.45%
Walterboro No. 1              1425                          943                           66.18%
Walterboro No. 2              1338                          740                           55.31%
Walterboro No. 3              1568                          1004                          64.03%
Walterboro No. 4              1615                          1109                          68.67%
WILLIAMS                      314                           231                           73.57%
WOLF CREEK                    400                           302                           75.50%
EDISTO BEACH                  1156                          955                           82.61%
Walterboro No. 5              1624                          1198                          73.77%
ASHTON-LODGE                  500                           369                           73.80%
BEREA-SMOAKS                  976                           659                           67.52%
Walterboro No. 6              1358                          798                           58.76%
Failsafe                      0                             0                             0.00%
Provisional                   0                             63                            0.00%
Failsafe Provisional          0                             8                             0.00%
Total:                        28368                         19463                         68.61%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
BELLS                         307                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             50                            15                            2                             0                             0                             0                             67                            0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             26                            21                            8                             0                             0                             0                             55                            124                           
CANADYS                       600                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             110                           28                            9                             0                             0                             0                             147                           1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             47                            66                            13                            0                             0                             0                             126                           275                           
COTTAGEVILLE                  1770                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             342                           192                           37                            0                             0                             0                             571                           1                             0                             0                             0                             0                             0                             1                             7                             3                             0                             0                             0                             0                             10                            82                            133                           68                            0                             0                             0                             283                           866                           
EDISTO                        362                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             34                            21                            3                             0                             0                             0                             58                            0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             57                            46                            13                            0                             0                             0                             116                           175                           
GREEN POND                    939                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             79                            23                            7                             0                             0                             0                             109                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             146                           150                           72                            0                             0                             0                             368                           478                           
HENDERSONVILLE                1162                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             109                           80                            12                            0                             0                             0                             201                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             112                           201                           100                           0                             0                             0                             413                           615                           
HORSE PEN                     705                           0                             0                             0                             0                             0                             0                             0                             1                             0                             2                             0                             0                             0                             3                             91                            98                            10                            0                             0                             0                             199                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             20                            71                            18                            0                             0                             0                             109                           312                           
HUDSON MILL                   617                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             136                           36                            15                            0                             0                             0                             187                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             20                            54                            11                            0                             0                             0                             85                            274                           
JACKSONBORO                   361                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             30                            5                             2                             0                             0                             0                             37                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             113                           11                            18                            0                             0                             0                             142                           179                           
MAPLE CANE                    1060                          2                             0                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             0                             2                             295                           97                            14                            0                             0                             0                             406                           0                             0                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             3                             30                            28                            23                            0                             0                             0                             81                            494                           
