




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANTIOCH                       1851                          1274                          68.83%
AUBURN                        729                           481                           65.98%
BETHEL                        756                           520                           68.78%
BLACK CREEK-CLYDE             1271                          885                           69.63%
BURNT BRANCH                  772                           561                           72.67%
Darlington No. 1              407                           231                           56.76%
Darlington No. 2              1679                          1045                          62.24%
Darlington No. 4              1623                          1056                          65.06%
Darlington No. 5              1949                          1215                          62.34%
DOVESVILLE                    1630                          1139                          69.88%
Hartsville No. 1              1346                          981                           72.88%
Hartsville No. 4              1051                          590                           56.14%
Hartsville No. 5              2554                          1746                          68.36%
Hartsville No. 6              1755                          1032                          58.80%
Hartsville No. 7              1197                          684                           57.14%
Hartsville No. 8              2831                          2069                          73.08%
HIGH HILL                     2844                          1870                          65.75%
INDIAN BRANCH                 661                           473                           71.56%
KELLEYTOWN                    1972                          1476                          74.85%
LAKE SWAMP                    1405                          994                           70.75%
Lamar No. 1                   892                           625                           70.07%
Lamar No. 2                   1625                          1149                          70.71%
LYDIA                         750                           500                           66.67%
MECHANICSVILLE                1858                          1268                          68.25%
NEW MARKET                    1097                          776                           70.74%
OATES                         1023                          759                           74.19%
PALMETTO                      2051                          1440                          70.21%
SOCIETY HILL                  816                           552                           67.65%
SWIFT CREEK                   994                           677                           68.11%
Darlington No. 3              2975                          2155                          72.44%
Darlington No. 6              1811                          1192                          65.82%
Hartsville No. 9              1859                          1228                          66.06%
Failsafe                      0                             0                             0.00%
Provisional                   0                             39                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        48034                         32689                         68.05%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ANTIOCH                       1851                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             283                           126                           17                            0                             0                             0                             426                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             108                           214                           48                            0                             0                             0                             370                           797                           
AUBURN                        729                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             35                            11                            1                             0                             0                             0                             47                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             128                           157                           16                            0                             0                             0                             301                           348                           
BETHEL                        756                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             92                            57                            12                            0                             0                             0                             161                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             53                            102                           20                            0                             0                             0                             175                           336                           
BLACK CREEK-CLYDE             1271                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             298                           122                           8                             0                             0                             0                             428                           0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             2                             43                            75                            17                            0                             0                             0                             135                           565                           
BURNT BRANCH                  772                           0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             113                           91                            15                            0                             0                             0                             219                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             30                            73                            10                            0                             0                             0                             113                           337                           
Darlington No. 1              407                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             23                            32                            1                             0                             0                             0                             56                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             29                            50                            14                            0                             0                             0                             93                            149                           
Darlington No. 2              1679                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             93                            102                           15                            0                             0                             0                             210                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             143                           321                           82                            0                             0                             0                             546                           759                           
Darlington No. 4              1623                          0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             60                            113                           14                            0                             0                             0                             187                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             125                           274                           91                            0                             0                             0                             490                           678                           
Darlington No. 5              1949                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             21                            37                            23                            0                             0                             0                             81                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             236                           460                           141                           0                             0                             0                             837                           918                           
DOVESVILLE                    1630                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             163                           110                           8                             0                             0                             0                             281                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             224                           302                           43                            0                             0                             0                             569                           850                           
Hartsville No. 1              1346                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             168                           120                           27                            0                             0                             0                             315                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             23                            81                            19                            0                             0                             0                             123                           438                           
Hartsville No. 4              1051                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             54                            41                            5                             0                             0                             0                             100                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             102                           190                           25                            0                             0                             0                             317                           417                           
Hartsville No. 5              2554                          1                             0                             0                             0                             0                             0                             1                             0                             2                             0                             0                             0                             0                             2                             211                           238                           46                            0                             0                             0                             495                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             111                           256                           57                            0                             0                             0                             424                           924                           
Hartsville No. 6              1755                          0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             3                             4                             1                             0                             0                             0                             8                             1                             0                             0                             0                             0                             0                             1                             0                             2                             0                             0                             0                             0                             2                             130                           489                           118                           0                             0                             0                             737                           749                           
