




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANDREWS                       1709                          1085                          63.49%
ANDREWS OUTSIDE               1072                          720                           67.16%
BETHEL                        996                           735                           73.80%
BLACK RIVER                   1530                          1169                          76.41%
BROWN'S FERRY                 1792                          1326                          74.00%
CARVER'S BAY                  214                           166                           77.57%
LAMBERT TOWN                  485                           388                           80.00%
CHOPPEE                       1020                          742                           72.75%
DREAM KEEPERS                 1009                          633                           62.74%
FOLLY GROVE                   833                           638                           76.59%
GEORGETOWN NO. 1              950                           719                           75.68%
GEORGETOWN NO. 3              1480                          873                           58.99%
GEORGETOWN NO. 4              539                           383                           71.06%
GEORGETOWN NO. 5              1745                          1193                          68.37%
PEE DEE                       603                           454                           75.29%
KENSINGTON                    1157                          880                           76.06%
MURRELL'S INLET NO. 1         3381                          2732                          80.80%
MURRELL'S INLET NO. 2         2464                          1774                          72.00%
MURRELL'S INLET NO. 3         946                           675                           71.35%
MURRELL'S INLET NO. 4         1623                          1256                          77.39%
MYERSVILLE                    464                           318                           68.53%
PAWLEY'S ISLAND NO. 1         3263                          2678                          82.07%
PAWLEY'S ISLAND NO. 2         3617                          2780                          76.86%
PAWLEY'S ISLAND NO. 3         2746                          2100                          76.47%
PAWLEY'S ISLAND NO. 4         2850                          2295                          80.53%
PAWLEY'S ISLAND NO. 5         3181                          2551                          80.19%
PENNY ROYAL                   529                           401                           75.80%
PLANTERSVILLE                 705                           507                           71.91%
PLEASANT HILL                 939                           694                           73.91%
POTATO BED FERRY              663                           517                           77.98%
SAMPIT                        983                           727                           73.96%
SANTEE                        1203                          848                           70.49%
SPRING GULLY                  1832                          1270                          69.32%
WINYAH BAY                    929                           715                           76.96%
Failsafe                      0                             0                             0.00%
Provisional                   0                             59                            0.00%
Failsafe Provisional          0                             34                            0.00%
Total:                        49452                         37035                         74.89%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ANDREWS                       1709                          2                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             0                             1                             144                           46                            10                            0                             0                             0                             200                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             311                           188                           45                            0                             0                             0                             544                           749                           
ANDREWS OUTSIDE               1072                          1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             179                           51                            14                            0                             0                             0                             244                           0                             0                             0                             0                             0                             0                             0                             2                             0                             1                             0                             0                             0                             3                             171                           96                            29                            0                             0                             0                             296                           545                           
BETHEL                        996                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             397                           108                           18                            0                             0                             0                             523                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             35                            15                            10                            0                             0                             0                             60                            587                           
BLACK RIVER                   1530                          2                             0                             1                             0                             0                             0                             3                             0                             0                             0                             0                             0                             0                             0                             255                           302                           36                            0                             0                             0                             593                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             38                            67                            21                            0                             0                             0                             126                           723                           
BROWN'S FERRY                 1792                          1                             0                             0                             0                             0                             0                             1                             1                             1                             0                             0                             0                             0                             2                             83                            75                            12                            0                             0                             0                             170                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             414                           344                           105                           0                             0                             0                             863                           1036                          
CARVER'S BAY                  214                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             77                            4                             0                             0                             0                             0                             81                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             15                            13                            6                             0                             0                             0                             34                            115                           
LAMBERT TOWN                  485                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             245                           21                            5                             0                             0                             0                             271                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             26                            16                            6                             0                             0                             0                             48                            320                           
CHOPPEE                       1020                          0                             1                             0                             0                             0                             0                             1                             0                             0                             1                             0                             0                             0                             1                             109                           51                            9                             0                             0                             0                             169                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             202                           156                           47                            0                             0                             0                             405                           576                           
DREAM KEEPERS                 1009                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             5                             3                             0                             0                             0                             0                             8                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             196                           227                           75                            0                             0                             0                             498                           507                           
FOLLY GROVE                   833                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             330                           25                            15                            0                             0                             0                             370                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             68                            49                            10                            0                             0                             0                             127                           498                           
