




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
GREENVILLE 1                  1824                          1484                          81.36%
GREENVILLE 3                  2553                          2084                          81.63%
GREENVILLE 4                  2910                          1670                          57.39%
GREENVILLE 5                  3230                          2101                          65.05%
GREENVILLE 6                  669                           306                           45.74%
GREENVILLE 7                  2619                          1565                          59.76%
GREENVILLE 8                  3505                          2302                          65.68%
GREENVILLE 10                 3010                          1983                          65.88%
GREENVILLE 14                 1950                          1158                          59.38%
GREENVILLE 16                 2179                          1647                          75.59%
GREENVILLE 17                 1870                          1416                          75.72%
GREENVILLE 18                 1544                          1301                          84.26%
GREENVILLE 19                 2449                          1507                          61.54%
GREENVILLE 20                 1319                          1083                          82.11%
GREENVILLE 21                 1652                          1149                          69.55%
GREENVILLE 22                 2477                          1872                          75.58%
GREENVILLE 23                 2142                          1744                          81.42%
GREENVILLE 24                 5009                          3112                          62.13%
GREENVILLE 25                 2240                          1116                          49.82%
GREENVILLE 26                 2082                          1359                          65.27%
GREENVILLE 27                 1277                          846                           66.25%
GREENVILLE 28                 1294                          688                           53.17%
GREENVILLE 29                 2213                          1333                          60.23%
AIKEN                         1224                          728                           59.48%
ALTAMONT FOREST               1356                          1112                          82.01%
ASHETON LAKES                 3384                          2666                          78.78%
AVON                          1723                          1298                          75.33%
BELLE MEADE                   1892                          1139                          60.20%
BELLS CROSSING                3211                          2353                          73.28%
BELMONT                       1009                          638                           63.23%
BEREA                         1489                          950                           63.80%
BOILING SPRINGS               2279                          1711                          75.08%
BOTANY WOODS                  1868                          1285                          68.79%
BROOKGLENN                    1333                          879                           65.94%
CANEBRAKE                     3033                          2318                          76.43%
CAROLINA                      1555                          941                           60.51%
CHESTNUT HILLS                1946                          1191                          61.20%
CIRCLE CREEK                  3146                          2505                          79.62%
CLEAR CREEK                   1805                          1421                          78.73%
CONESTEE                      2528                          1745                          69.03%
DARBY RIDGE                   2881                          2184                          75.81%
DEL NORTE                     2615                          1725                          65.97%
DEVENGER                      1959                          1571                          80.19%
DONALDSON                     1216                          871                           71.63%
DOVE TREE                     2057                          1510                          73.41%
DUNKLIN                       2443                          1824                          74.66%
EASTSIDE                      2618                          1888                          72.12%
EBENEZER                      2309                          1770                          76.66%
EDWARDS FOREST                2469                          1765                          71.49%
ENOREE                        3307                          2445                          73.93%
FEASTER                       1430                          911                           63.71%
FORK SHOALS                   2002                          1584                          79.12%
FOUNTAIN INN 1                3527                          2616                          74.17%
FOUNTAIN INN 2                1538                          1077                          70.03%
FURMAN                        2953                          2222                          75.25%
GOWENSVILLE                   2133                          1660                          77.82%
GROVE                         1912                          1174                          61.40%
JENNINGS MILL                 1917                          1474                          76.89%
LAKEVIEW                      2770                          1733                          62.56%
LAUREL RIDGE                  2570                          1917                          74.59%
LEAWOOD                       2587                          1624                          62.78%
MAPLE CREEK                   2284                          1568                          68.65%
MARIDELL                      2015                          1506                          74.74%
MAULDIN 1                     2215                          1518                          68.53%
MAULDIN 2                     4332                          2934                          67.73%
MAULDIN 3                     2631                          1791                          68.07%
MAULDIN 4                     3501                          2393                          68.35%
MAULDIN 5                     3471                          2105                          60.65%
MAULDIN 6                     2308                          1678                          72.70%
MAULDIN 7                     2016                          1516                          75.20%
MISSION                       2611                          2033                          77.86%
MONAVIEW                      2379                          1254                          52.71%
MOUNTAIN CREEK                2366                          1831                          77.39%
MOUNTAIN VIEW                 2360                          1831                          77.58%
NEELY FARMS                   3835                          2805                          73.14%
NORTHWOOD                     2169                          1598                          73.67%
OAKVIEW                       3144                          2478                          78.82%
PALMETTO                      2190                          1444                          65.94%
PARIS MOUNTAIN                1459                          1144                          78.41%
PEBBLE CREEK                  2290                          1718                          75.02%
PELHAM FALLS                  1163                          929                           79.88%
PIEDMONT                      3051                          2031                          66.57%
PINEVIEW                      1301                          971                           74.63%
POINSETT                      3133                          2217                          70.76%
RAINTREE                      3442                          2533                          73.59%
REEDY FORK                    2404                          1853                          77.08%
RIVERWALK                     2687                          2091                          77.82%
ROCK HILL                     2947                          1770                          60.06%
ROCKY CREEK                   2411                          1506                          62.46%
ROLLING GREEN                 2015                          1519                          75.38%
ROYAL OAKS                    1611                          1001                          62.14%
SALUDA                        1563                          1169                          74.79%
SANDY FLAT                    3661                          2851                          77.87%
SEVIER                        2722                          2012                          73.92%
SILVERLEAF                    2429                          1850                          76.16%
SIMPSONVILLE 1                2801                          1973                          70.44%
SIMPSONVILLE 2                2086                          1515                          72.63%
SIMPSONVILLE 3                2582                          1894                          73.35%
