




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ADRIAN                        2323                          1452                          62.51%
ALLSBROOK                     806                           539                           66.87%
ATLANTIC BEACH                430                           113                           26.28%
AYNOR                         2000                          1470                          73.50%
BAYBORO-GURLEY                1555                          984                           63.28%
BROOKSVILLE #1                3834                          2721                          70.97%
BROWNWAY                      1907                          1260                          66.07%
BURGESS #1                    2748                          1960                          71.32%
BURGESS #2                    4121                          3073                          74.57%
CAROLINA FOREST #1            3530                          2208                          62.55%
CAROLINA FOREST #2            2688                          1575                          58.59%
CEDAR GROVE                   980                           639                           65.20%
CHERRY GROVE #1               2256                          1537                          68.13%
CHERRY GROVE #2               2371                          1726                          72.80%
COASTAL CAROLINA              1946                          880                           45.22%
COASTAL LANE #1               1242                          622                           50.08%
COASTAL LANE #2               1742                          763                           43.80%
COOL SPRINGS                  470                           327                           69.57%
CRESENT                       2253                          1368                          60.72%
DAISY                         1546                          984                           63.65%
DEERFIELD                     3169                          2193                          69.20%
DOGBLUFF                      1208                          798                           66.06%
DOGWOOD                       1689                          1145                          67.79%
DUNES #1                      3543                          2766                          78.07%
DUNES #2                      2497                          1730                          69.28%
DUNES #3                      1223                          827                           67.62%
EAST CONWAY                   1549                          1078                          69.59%
EAST LORIS                    3079                          2003                          65.05%
EBENEZER                      2474                          1818                          73.48%
EMERALD FOREST #1             3264                          1695                          51.93%
EMERALD FOREST #2             5351                          2754                          51.47%
EMERALD FOREST #3             3548                          2385                          67.22%
ENTERPRISE                    4332                          2935                          67.75%
FORESTBROOK                   3793                          2616                          68.97%
FOUR MILE                     2240                          1469                          65.58%
GALLIVANTS FERRY              181                           125                           69.06%
GARDEN CITY #1                2370                          1547                          65.27%
GARDEN CITY #2                1589                          1152                          72.50%
GARDEN CITY #3                2242                          1442                          64.32%
GARDEN CITY #4                1448                          875                           60.43%
GLENNS BAY                    2534                          1620                          63.93%
GREEN SEA                     1145                          727                           63.49%
HICKORY GROVE                 1805                          1191                          65.98%
HICKORY HILL                  176                           125                           71.02%
HOMEWOOD                      1790                          1257                          70.22%
HORRY                         1477                          1111                          75.22%
INLAND                        385                           254                           65.97%
JACKSON BLUFF                 767                           458                           59.71%
