




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Airport                       1304                          886                           67.94%
Antioch                       894                           656                           73.38%
Bethune                       1263                          905                           71.65%
Buffalo                       1078                          755                           70.04%
Camden No. 1                  1671                          1129                          67.56%
Camden No. 2 & 3              416                           291                           69.95%
Hobkirk's Hill                1835                          1378                          75.10%
Camden No. 5                  972                           734                           75.51%
Camden No. 5-A                616                           433                           70.29%
Camden No. 6                  418                           302                           72.25%
Cassatt                       1691                          1079                          63.81%
Charlotte Thompson            1678                          1239                          73.84%
Doby's Mill                   2099                          1332                          63.46%
E. Camden-Hermitage           592                           375                           63.34%
Elgin No. 1                   2478                          1850                          74.66%
Elgin No. 2                   1905                          1356                          71.18%
Elgin No. 3                   1489                          1068                          71.73%
Elgin No. 4                   2189                          1468                          67.06%
Elgin No. 5                   1516                          1058                          69.79%
Elgin No. 6                   1411                          947                           67.12%
Gates Ford                    374                           273                           72.99%
Liberty Hill                  600                           461                           76.83%
Lugoff No. 1                  1398                          983                           70.31%
Lugoff No. 2                  2010                          1432                          71.24%
Lugoff No. 3                  1764                          1275                          72.28%
Lugoff No. 4                  1479                          1144                          77.35%
Malvern Hill                  1494                          1078                          72.16%
Rabon's X Roads               2139                          1644                          76.86%
Riverdale                     917                           546                           59.54%
Salt Pond                     1483                          1001                          67.50%
Shaylor's Hill                1020                          746                           73.14%
Springdale                    1970                          1494                          75.84%
Westville                     1709                          1218                          71.27%
Whites Gardens                1819                          1285                          70.64%
Failsafe                      0                             0                             0.00%
Provisional                   0                             12                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        47691                         33840                         70.96%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Airport                       1304                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             151                           141                           13                            0                             0                             0                             305                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             52                            123                           44                            0                             0                             0                             219                           525                           
Antioch                       894                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             178                           85                            10                            0                             0                             0                             273                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             51                            88                            18                            0                             0                             0                             157                           431                           
Bethune                       1263                          2                             0                             1                             0                             0                             0                             3                             0                             0                             0                             0                             0                             0                             0                             295                           66                            15                            0                             0                             0                             376                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             150                           82                            23                            0                             0                             0                             255                           634                           
Buffalo                       1078                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             349                           56                            17                            0                             0                             0                             422                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             52                            26                            13                            0                             0                             0                             91                            514                           
Camden No. 1                  1671                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             105                           144                           7                             0                             0                             0                             256                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             91                            309                           53                            0                             0                             0                             453                           711                           
Camden No. 2 & 3              416                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             16                            37                            6                             0                             0                             0                             59                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             29                            50                            13                            0                             0                             0                             92                            151                           
Hobkirk's Hill                1835                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             74                            160                           24                            0                             0                             0                             258                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             66                            165                           45                            0                             0                             0                             276                           536                           
Camden No. 5                  972                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             61                            114                           12                            0                             0                             0                             187                           0                             0                             1                             0                             0                             0                             1                             0                             1                             1                             0                             0                             0                             2                             19                            72                            13                            0                             0                             0                             104                           295                           
Camden No. 5-A                616                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             43                            26                            8                             0                             0                             0                             77                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             102                           67                            21                            0                             0                             0                             190                           268                           
Camden No. 6                  418                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             34                            36                            11                            0                             0                             0                             81                            0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             11                            36                            21                            0                             0                             0                             68                            150                           
Cassatt                       1691                          1                             0                             0                             0                             0                             0                             1                             2                             0                             0                             0                             0                             0                             2                             382                           160                           25                            0                             0                             0                             567                           1                             0                             0                             0                             0                             0                             1                             3                             1                             0                             0                             0                             0                             4                             93                            114                           21                            0                             0                             0                             228                           803                           
Charlotte Thompson            1678                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             154                           209                           16                            0                             0                             0                             379                           0                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             1                             67                            277                           80                            0                             0                             0                             424                           806                           
