




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
LAURENS 1                     719                           451                           62.73%
LAURENS 2                     570                           314                           55.09%
LAURENS 3                     1029                          569                           55.30%
LAURENS 4                     838                           549                           65.51%
LAURENS 5                     1572                          1184                          75.32%
LAURENS 6                     1275                          1014                          79.53%
BAILEY                        1043                          778                           74.59%
TRINITY RIDGE                 1437                          1109                          77.17%
WATTSVILLE                    1442                          973                           67.48%
BARKSDALE-NARINE              1015                          742                           73.10%
MADDENS                       1215                          914                           75.23%
CLINTON 1                     1495                          979                           65.48%
CLINTON 2                     1536                          998                           64.97%
JOANNA                        1698                          1240                          73.03%
LYDIA MILL                    1255                          850                           67.73%
MOUNTVILLE                    633                           481                           75.99%
CLINTON 3                     1430                          1150                          80.42%
JONES                         1734                          1214                          70.01%
OWINGS                        817                           586                           71.73%
GRAY COURT                    1378                          970                           70.39%
GREENPOND                     1686                          1294                          76.75%
COOKS                         2800                          1868                          66.71%
YOUNGS                        1266                          929                           73.38%
ORA-LANFORD                   923                           711                           77.03%
LONG BRANCH                   1219                          971                           79.66%
CROSS HILL                    1773                          1316                          74.22%
WATERLOO                      1613                          1317                          81.65%
MARTINS-POPLAR SPRINGS        717                           554                           77.27%
EKOM                          664                           493                           74.25%
MOUNT OLIVE                   1137                          878                           77.22%
HICKORY TAVERN                2436                          1829                          75.08%
CLINTON MILL                  1413                          862                           61.00%
BREWERTON-PRINCETON           740                           561                           75.81%
Failsafe                      0                             37                            0.00%
Provisional                   0                             33                            0.00%
Failsafe Provisional          0                             21                            0.00%
Total:                        42518                         30739                         72.30%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
LAURENS 1                     719                           0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             37                            58                            2                             0                             0                             0                             97                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             127                           99                            10                            0                             0                             0                             236                           334                           
LAURENS 2                     570                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             25                            10                            2                             0                             0                             0                             37                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             98                            96                            10                            0                             0                             0                             204                           241                           
LAURENS 3                     1029                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             102                           74                            10                            0                             0                             0                             186                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             97                            121                           16                            0                             0                             0                             234                           423                           
LAURENS 4                     838                           1                             1                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             32                            30                            8                             0                             0                             0                             70                            0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             74                            135                           33                            0                             0                             0                             242                           315                           
LAURENS 5                     1572                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             241                           200                           32                            0                             0                             0                             473                           0                             0                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             3                             109                           162                           35                            0                             0                             0                             306                           783                           
LAURENS 6                     1275                          0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             205                           216                           41                            0                             0                             0                             462                           0                             0                             0                             0                             0                             0                             0                             1                             2                             0                             0                             0                             0                             3                             59                            107                           30                            0                             0                             0                             196                           663                           
BAILEY                        1043                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             219                           81                            13                            0                             0                             0                             313                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             95                            67                            19                            0                             0                             0                             181                           497                           
TRINITY RIDGE                 1437                          1                             1                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             277                           152                           20                            0                             0                             0                             449                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             124                           150                           21                            0                             0                             0                             295                           746                           
WATTSVILLE                    1442                          3                             0                             0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             0                             3                             337                           131                           16                            0                             0                             0                             484                           0                             0                             0                             0                             0                             0                             0                             4                             0                             0                             0                             0                             0                             4                             98                            96                            16                            0                             0                             0                             210                           704                           
BARKSDALE-NARINE              1015                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             277                           72                            8                             0                             0                             0                             357                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             66                            98                            7                             0                             0                             0                             171                           532                           
MADDENS                       1215                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             313                           138                           9                             0                             0                             0                             460                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             71                            95                            10                            0                             0                             0                             176                           638                           
CLINTON 1                     1495                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             227                           93                            21                            0                             0                             0                             341                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             155                           96                            42                            0                             0                             0                             293                           636                           
CLINTON 2                     1536                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             138                           71                            34                            0                             0                             0                             243                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             95                            90                            34                            0                             0                             0                             219                           465                           
JOANNA                        1698                          3                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             0                             0                             482                           123                           14                            0                             0                             0                             619                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             101                           58                            18                            0                             0                             0                             177                           799                           
LYDIA MILL                    1255                          0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             155                           60                            7                             0                             0                             0                             222                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             188                           159                           51                            0                             0                             0                             398                           623                           
MOUNTVILLE                    633                           0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             201                           20                            3                             0                             0                             0                             224                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             85                            30                            14                            0                             0                             0                             129                           355                           
CLINTON 3                     1430                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             290                           143                           28                            0                             0                             0                             461                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             75                            80                            22                            0                             0                             0                             177                           639                           
JONES                         1734                          1                             1                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             0                             1                             395                           79                            38                            0                             0                             0                             512                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             156                           128                           35                            0                             0                             0                             319                           836                           
OWINGS                        817                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             247                           52                            9                             0                             0                             0                             308                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             84                            33                            7                             0                             0                             0                             124                           433                           
