




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Stone Church                  1150                          642                           55.83%
University                    704                           334                           47.44%
Morrison                      1329                          592                           44.54%
Abel                          938                           370                           39.45%
Calhoun                       1161                          432                           37.21%
Clemson                       1766                          989                           56.00%
Issaqueena                    783                           423                           54.02%
West Central                  983                           298                           30.32%
North Central                 1014                          532                           52.47%
Pike                          963                           513                           53.27%
Lawrence Chapel               1190                          666                           55.97%
Norris                        1102                          582                           52.81%
Six Mile                      1346                          738                           54.83%
Six Mile Mountain             1411                          748                           53.01%
Praters Creek                 847                           444                           52.42%
Mountain View                 1505                          666                           44.25%
Albert R. Lewis               1207                          646                           53.52%
Holly Springs                 1459                          768                           52.64%
Pumpkintown                   1402                          809                           57.70%
Griffin                       1382                          779                           56.37%
North Pickens                 1258                          610                           48.49%
West Pickens                  1279                          619                           48.40%
South Pickens                 1097                          485                           44.21%
East Pickens                  1174                          616                           52.47%
Glassy Mountain               1173                          559                           47.66%
Cedar Rock                    1196                          616                           51.51%
Skelton                       1084                          571                           52.68%
Rices Creek                   1181                          592                           50.13%
West Liberty                  1192                          628                           52.68%
East Liberty                  1081                          526                           48.66%
Flat Rock                     1202                          628                           52.25%
Zion                          1133                          528                           46.60%
Smith Grove                   889                           371                           41.73%
Arial Mill                    996                           452                           45.38%
Simpson                       1100                          386                           35.09%
Woodside                      1443                          673                           46.64%
Brushy Creek                  1572                          814                           51.78%
Pickensville                  1028                          502                           48.83%
Easley                        1178                          519                           44.06%
Forest Acres                  991                           542                           54.69%
Crestview                     1165                          656                           56.31%
Sitton                        1344                          752                           55.95%
Rock Springs                  1286                          643                           50.00%
Saluda                        1112                          539                           48.47%
Crosswell                     1386                          679                           48.99%
Georges Creek                 1025                          572                           55.80%
McKissick                     1223                          579                           47.34%
Vinland                       1013                          497                           49.06%
Crossroads                    1220                          507                           41.56%
Dacusville                    1034                          384                           37.14%
Nine Forks                    1174                          566                           48.21%
South Central                 1104                          451                           40.85%
Crescent Hill                 1244                          585                           47.03%
North Liberty                 1083                          480                           44.32%
Pendleton                     986                           462                           46.86%
Fruit Mountain                868                           348                           40.09%
Pope Field                    939                           421                           44.83%
Sheffield                     1340                          738                           55.07%
Tri County                    550                           326                           59.27%
McAllister                    1138                          517                           45.43%
Lenhart                       1019                          446                           43.77%
Absentee                      0                             3786                          0.00%
Emergency                     0                             708                           0.00%
Failsafe                      0                             60                            0.00%
Provisional                   0                             68                            0.00%
Failsafe Provisional          0                             36                            0.00%
Total:                        70142                         39014                         55.62%

                                                                                                                                                                                                     STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          112                           112                           2                             2                             1                             1                             0                             0                             139                           139                           2                             2                             256                           
University                    704                           49                            49                            0                             0                             0                             0                             0                             0                             70                            70                            2                             2                             121                           
Morrison                      1329                          88                            88                            1                             1                             0                             0                             2                             2                             117                           117                           1                             1                             209                           
Abel                          938                           119                           119                           1                             1                             2                             2                             2                             2                             60                            60                            0                             0                             184                           
Calhoun                       1161                          100                           100                           3                             3                             0                             0                             0                             0                             82                            82                            1                             1                             186                           
Clemson                       1766                          154                           154                           1                             1                             1                             1                             1                             1                             283                           283                           2                             2                             442                           
Issaqueena                    783                           83                            83                            1                             1                             1                             1                             1                             1                             77                            77                            0                             0                             163                           
West Central                  983                           61                            61                            0                             0                             0                             0                             0                             0                             80                            80                            1                             1                             142                           
North Central                 1014                          63                            63                            2                             2                             2                             2                             2                             2                             235                           235                           3                             3                             307                           
Pike                          963                           80                            80                            1                             1                             0                             0                             2                             2                             168                           168                           1                             1                             252                           
Lawrence Chapel               1190                          65                            65                            1                             1                             1                             1                             0                             0                             289                           289                           2                             2                             358                           
Norris                        1102                          57                            57                            4                             4                             0                             0                             0                             0                             347                           347                           1                             1                             409                           
Six Mile                      1346                          39                            39                            2                             2                             0                             0                             0                             0                             416                           416                           3                             3                             460                           
Six Mile Mountain             1411                          43                            43                            2                             2                             2                             2                             1                             1                             337                           337                           2                             2                             387                           
Praters Creek                 847                           19                            19                            0                             0                             1                             1                             0                             0                             255                           255                           1                             1                             276                           
Mountain View                 1505                          61                            61                            1                             1                             0                             0                             1                             1                             357                           357                           0                             0                             420                           
Albert R. Lewis               1207                          34                            34                            0                             0                             1                             1                             1                             1                             353                           353                           1                             1                             390                           
Holly Springs                 1459                          66                            66                            1                             1                             0                             0                             0                             0                             416                           416                           1                             1                             484                           
Pumpkintown                   1402                          79                            79                            1                             1                             0                             0                             3                             3                             421                           421                           3                             3                             507                           
Griffin                       1382                          51                            51                            1                             1                             2                             2                             0                             0                             413                           413                           3                             3                             470                           
North Pickens                 1258                          33                            33                            5                             5                             1                             1                             0                             0                             327                           327                           2                             2                             368                           
West Pickens                  1279                          53                            53                            0                             0                             0                             0                             0                             0                             296                           296                           4                             4                             353                           
South Pickens                 1097                          83                            83                            1                             1                             1                             1                             0                             0                             210                           210                           1                             1                             296                           
East Pickens                  1174                          22                            22                            2                             2                             2                             2                             1                             1                             314                           314                           1                             1                             342                           
Glassy Mountain               1173                          30                            30                            0                             0                             1                             1                             0                             0                             311                           311                           2                             2                             344                           
Cedar Rock                    1196                          44                            44                            1                             1                             1                             1                             1                             1                             314                           314                           3                             3                             364                           
Skelton                       1084                          34                            34                            0                             0                             0                             0                             0                             0                             284                           284                           1                             1                             319                           
Rices Creek                   1181                          41                            41                            0                             0                             0                             0                             0                             0                             318                           318                           1                             1                             360                           
West Liberty                  1192                          49                            49                            3                             3                             0                             0                             1                             1                             319                           319                           3                             3                             375                           
East Liberty                  1081                          45                            45                            1                             1                             3                             3                             1                             1                             299                           299                           2                             2                             351                           
Flat Rock                     1202                          50                            50                            3                             3                             3                             3                             1                             1                             378                           378                           3                             3                             438                           
Zion                          1133                          48                            48                            1                             1                             2                             2                             0                             0                             287                           287                           1                             1                             339                           
Smith Grove                   889                           49                            49                            0                             0                             0                             0                             1                             1                             214                           214                           1                             1                             265                           
Arial Mill                    996                           47                            47                            2                             2                             2                             2                             0                             0                             229                           229                           2                             2                             282                           
Simpson                       1100                          155                           155                           4                             4                             1                             1                             0                             0                             106                           106                           0                             0                             266                           
Woodside                      1443                          102                           102                           2                             2                             1                             1                             1                             1                             267                           267                           2                             2                             375                           
Brushy Creek                  1572                          103                           103                           1                             1                             1                             1                             3                             3                             334                           334                           3                             3                             445                           
Pickensville                  1028                          56                            56                            0                             0                             2                             2                             1                             1                             233                           233                           2                             2                             294                           
Easley                        1178                          78                            78                            3                             3                             2                             2                             0                             0                             233                           233                           6                             6                             322                           
Forest Acres                  991                           71                            71                            1                             1                             2                             2                             0                             0                             243                           243                           2                             2                             319                           
Crestview                     1165                          51                            51                            1                             1                             0                             0                             0                             0                             324                           324                           0                             0                             376                           
Sitton                        1344                          80                            80                            1                             1                             1                             1                             0                             0                             347                           347                           1                             1                             430                           
Rock Springs                  1286                          72                            72                            1                             1                             1                             1                             0                             0                             313                           313                           0                             0                             387                           
Saluda                        1112                          68                            68                            2                             2                             0                             0                             1                             1                             285                           285                           0                             0                             356                           
Crosswell                     1386                          50                            50                            1                             1                             2                             2                             2                             2                             361                           361                           1                             1                             417                           
Georges Creek                 1025                          62                            62                            0                             0                             1                             1                             0                             0                             254                           254                           2                             2                             319                           
McKissick                     1223                          79                            79                            2                             2                             0                             0                             0                             0                             252                           252                           0                             0                             333                           
Vinland                       1013                          25                            25                            2                             2                             0                             0                             1                             1                             305                           305                           0                             0                             333                           
Crossroads                    1220                          37                            37                            2                             2                             0                             0                             1                             1                             270                           270                           4                             4                             314                           
Dacusville                    1034                          19                            19                            1                             1                             0                             0                             1                             1                             211                           211                           2                             2                             234                           
Nine Forks                    1174                          30                            30                            1                             1                             1                             1                             0                             0                             301                           301                           1                             1                             334                           
South Central                 1104                          106                           106                           0                             0                             2                             2                             2                             2                             139                           139                           2                             2                             251                           
Crescent Hill                 1244                          29                            29                            0                             0                             0                             0                             0                             0                             319                           319                           2                             2                             350                           
North Liberty                 1083                          45                            45                            1                             1                             0                             0                             0                             0                             239                           239                           2                             2                             287                           
Pendleton                     986                           21                            21                            4                             4                             3                             3                             1                             1                             264                           264                           3                             3                             296                           
Fruit Mountain                868                           40                            40                            0                             0                             1                             1                             0                             0                             179                           179                           1                             1                             221                           
Pope Field                    939                           68                            68                            3                             3                             0                             0                             0                             0                             161                           161                           2                             2                             234                           
Sheffield                     1340                          54                            54                            4                             4                             0                             0                             0                             0                             339                           339                           1                             1                             398                           
