




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Ward 1                        1499                          802                           53.50%
Ward 2                        1221                          475                           38.90%
Ward 3                        1710                          1077                          62.98%
Ward 4                        1542                          1125                          72.96%
Ward 5                        1417                          616                           43.47%
Ward 6                        1459                          1072                          73.47%
Ward 7                        1282                          655                           51.09%
Ward 8                        1936                          195                           10.07%
Ward 9                        1200                          512                           42.67%
Ward 10                       1559                          1143                          73.32%
Ward 11                       1555                          963                           61.93%
Ward 12                       1585                          1129                          71.23%
Ward 13                       2182                          1593                          73.01%
Ward 14                       1672                          1301                          77.81%
Ward 15                       1103                          882                           79.96%
Ward 16                       1366                          1136                          83.16%
Ward 17                       1678                          1339                          79.80%
Ward 18                       1307                          818                           62.59%
Ward 19                       1465                          760                           51.88%
Ward 20                       1921                          1255                          65.33%
Ward 21                       1749                          1030                          58.89%
Ward 22                       1632                          1030                          63.11%
Ward 23                       1065                          742                           69.67%
Ward 24                       1030                          851                           82.62%
Ward 25                       1662                          1371                          82.49%
Ward 26                       1829                          1006                          55.00%
Ward 29                       1474                          891                           60.45%
Ward 30                       1398                          718                           51.36%
Ward 31                       1073                          628                           58.53%
Ward 32                       1002                          600                           59.88%
Ward 33                       1111                          645                           58.06%
Ward 34                       1259                          896                           71.17%
Arcadia                       1669                          1230                          73.70%
Ardincaple                    525                           331                           63.05%
Ballentine 1                  1685                          1268                          75.25%
Ballentine 2                  2058                          1617                          78.57%
Beatty Road                   1061                          537                           50.61%
Bluff                         2118                          1362                          64.31%
Blythewood 1                  2306                          1857                          80.53%
Blythewood 2                  2527                          1945                          76.97%
Blythewood 3                  2898                          2282                          78.74%
Bookman                       3294                          2398                          72.80%
Brandon 1                     2163                          1521                          70.32%
Brandon 2                     2280                          1418                          62.19%
Briarwood                     2883                          1870                          64.86%
Bridge Creek                  2365                          1731                          73.19%
Caughman Road                 2061                          1530                          74.24%
College Place                 1591                          972                           61.09%
Cooper                        1234                          1019                          82.58%
Dennyside                     1179                          753                           63.87%
Dentsville                    2366                          1557                          65.81%
Dutch Fork 1                  1354                          1103                          81.46%
Dutch Fork 2                  1527                          1180                          77.28%
Dutch Fork 3                  2588                          2049                          79.17%
Dutch Fork 4                  1898                          1481                          78.03%
Eastover                      1330                          940                           70.68%
Edgewood                      2010                          1051                          52.29%
Estates                       2244                          1659                          73.93%
Fairlawn                      3132                          2211                          70.59%
Fairwold                      901                           609                           67.59%
East Forest Acres             1441                          1169                          81.12%
North Forest Acres            1492                          1035                          69.37%
South Forest Acres            1690                          1306                          77.28%
Friarsgate 1                  1805                          1328                          73.57%
Friarsgate 2                  1516                          1131                          74.60%
Old Friarsgate                1404                          1043                          74.29%
Gadsden                       1464                          1095                          74.80%
Garners                       957                           643                           67.19%
Greenview                     1762                          1223                          69.41%
Gregg Park                    2248                          1405                          62.50%
Hampton                       1878                          1185                          63.10%
Harbison 1                    2489                          1589                          63.84%
Harbison 2                    1460                          1003                          68.70%
Hopkins 1                     1477                          1075                          72.78%
Hopkins 2                     1760                          1293                          73.47%
Horrell Hill                  2509                          1718                          68.47%
Hunting Creek                 518                           391                           75.48%
Keels 1                       2085                          1323                          63.45%
Keels 2                       1669                          959                           57.46%
Keenan                        1879                          1348                          71.74%
Kelly Mill                    2409                          1798                          74.64%
Killian                       2952                          2182                          73.92%
Kingswood                     3030                          2024                          66.80%
Lake Carolina                 3564                          2522                          70.76%
Lincolnshire                  2232                          1404                          62.90%
Longcreek                     5314                          4162                          78.32%
Longleaf                      1920                          1391                          72.45%
Lykesland                     1953                          1471                          75.32%
Mallet Hill                   2879                          1956                          67.94%
Meadowfield                   1864                          1401                          75.16%
Meadowlake                    2334                          1519                          65.08%
McEntire                      889                           665                           74.80%
Midway                        2908                          1841                          63.31%
Mill Creek                    1421                          969                           68.19%
Monticello                    1879                          1383                          73.60%
North Springs 1               1448                          1081                          74.65%
North Springs 2               3233                          2320                          71.76%
North Springs 3               2126                          1565                          73.61%
Oak Pointe 1                  1413                          1093                          77.35%
Oak Pointe 2                  803                           626                           77.96%
Oak Pointe 3                  1175                          860                           73.19%
Oakwood                       1061                          814                           76.72%
Olympia                       2488                          1165                          46.82%
Parkridge 1                   1063                          737                           69.33%
Parkridge 2                   1099                          646                           58.78%
Parkway 1                     2443                          1746                          71.47%
Parkway 2                     2506                          1827                          72.91%
Parkway 3                     2015                          1515                          75.19%
Pennington 1                  1093                          930                           85.09%
Pennington 2                  1563                          1237                          79.14%
Pine Grove                    1740                          1098                          63.10%
Pine Lakes 1                  1249                          890                           71.26%
Pine Lakes 2                  1729                          1186                          68.59%
Pinewood                      2099                          1480                          70.51%
Polo Road                     2789                          1854                          66.48%
Pontiac 1                     2891                          2025                          70.04%
Pontiac 2                     2503                          2013                          80.42%
Rice Creek 1                  1858                          1333                          71.74%
Rice Creek 2                  3137                          2252                          71.79%
Ridge View 1                  2875                          2108                          73.32%
Ridge View 2                  3435                          2371                          69.02%
Ridgewood                     713                           470                           65.92%
Riverside                     1459                          745                           51.06%
Riversprings 1                1237                          993                           80.27%
Riversprings 2                1543                          1145                          74.21%
Riversprings 3                1648                          1309                          79.43%
Riverwalk                     3018                          2320                          76.87%
Round Top                     742                           557                           75.07%
St. Andrews                   1338                          847                           63.30%
Sandlapper                    3201                          2361                          73.76%
Satchelford                   1476                          1159                          78.52%
Skyland                       1272                          687                           54.01%
South Beltline                1646                          936                           56.87%
Spring Hill                   2666                          2212                          82.97%
Spring Valley                 3037                          2249                          74.05%
Spring Valley West            3005                          2074                          69.02%
Springville 1                 2290                          1807                          78.91%
Springville 2                 1997                          1600                          80.12%
Trenholm Road                 1168                          845                           72.35%
Trinity                       1546                          1062                          68.69%
Valhalla                      2500                          1788                          71.52%
Valley State Park             3611                          2459                          68.10%
Walden                        1355                          747                           55.13%
Webber                        1193                          859                           72.00%
Westminster                   1961                          1028                          52.42%
Whitewell                     2014                          979                           48.61%
Wildewood                     3244                          2408                          74.23%
Woodfield                     2820                          1791                          63.51%
Woodlands                     2302                          1971                          85.62%
Failsafe                      0                             69                            0.00%
Provisional                   0                             156                           0.00%
Failsafe Provisional          0                             118                           0.00%
Total:                        281077                        195210                        69.45%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                STRAIGHT PARTY 2 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Independence                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Ward 1                        1499                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             3                             46                            45                            15                            0                             0                             0                             106                           0                             0                             1                             0                             0                             0                             1                             2                             0                             1                             0                             0                             0                             3                             56                            157                           74                            0                             0                             0                             287                           400                           
Ward 2                        1221                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             21                            16                            2                             0                             0                             0                             39                            0                             1                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             1                             82                            130                           30                            0                             0                             0                             242                           284                           
Ward 3                        1710                          0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             71                            45                            6                             0                             0                             0                             122                           0                             0                             0                             0                             0                             0                             0                             2                             0                             1                             0                             0                             0                             3                             155                           212                           40                            0                             0                             0                             407                           535                           
Ward 4                        1542                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             59                            32                            23                            0                             0                             0                             114                           0                             0                             0                             0                             0                             0                             0                             1                             3                             1                             0                             0                             0                             5                             122                           202                           78                            0                             0                             0                             402                           522                           
Ward 5                        1417                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             72                            47                            10                            0                             0                             0                             129                           0                             0                             0                             0                             0                             0                             0                             5                             0                             0                             0                             0                             0                             5                             86                            98                            24                            0                             0                             0                             208                           344                           
Ward 6                        1459                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             97                            46                            28                            0                             0                             0                             171                           0                             0                             0                             0                             0                             0                             0                             1                             2                             0                             0                             0                             0                             3                             113                           147                           79                            0                             0                             0                             339                           513                           
Ward 7                        1282                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             4                             3                             1                             0                             0                             0                             8                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             194                           233                           79                            0                             0                             0                             506                           516                           
Ward 8                        1936                          0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             62                            73                            19                            0                             0                             0                             154                           157                           
Ward 9                        1200                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             7                             4                             2                             0                             0                             0                             13                            0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             94                            243                           36                            0                             0                             0                             373                           388                           
Ward 10                       1559                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             82                            46                            16                            0                             0                             0                             144                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             78                            154                           68                            0                             0                             0                             300                           446                           
Ward 11                       1555                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             74                            36                            14                            0                             0                             0                             124                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             137                           209                           55                            0                             0                             0                             401                           526                           
Ward 12                       1585                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             77                            51                            20                            0                             0                             0                             148                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             86                            130                           86                            0                             0                             0                             302                           451                           
Ward 13                       2182                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             112                           79                            25                            0                             0                             0                             216                           0                             0                             0                             0                             0                             0                             0                             1                             3                             0                             0                             0                             0                             4                             99                            207                           85                            0                             0                             0                             391                           611                           
Ward 14                       1672                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             63                            73                            18                            0                             0                             0                             154                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             82                            146                           72                            0                             0                             0                             300                           456                           
Ward 15                       1103                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             70                            83                            21                            0                             0                             0                             174                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             46                            89                            31                            0                             0                             0                             166                           341                           
Ward 16                       1366                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             101                           116                           20                            0                             0                             0                             237                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             33                            57                            19                            0                             0                             0                             109                           348                           
Ward 17                       1678                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             126                           127                           31                            0                             0                             0                             284                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             46                            125                           46                            0                             0                             0                             217                           502                           
